交易日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,流通市值
2022-07-25,27.55,33.06,33.06,27.55,6366,20944546.93,24.0,43.99,10.1,3.17,1540039269.6000001
2022-07-26,36.37,36.37,36.37,36.37,2718,9885402.37,0.0,10.01,3.31,1.35,1694229529.1999998
2022-07-27,37.0,40.01,40.01,36.38,60857,235853957.06,9.98,10.01,3.64,30.29,1863792231.6
2022-07-28,44.01,44.01,44.01,42.01,84535,370112286.32,5.0,10.0,4.0,42.07,2050124871.6
2022-07-29,39.71,39.81,47.99,39.61,131320,544059222.16,19.04,-9.54,-4.2,65.35,1854475599.6000001
2022-08-01,35.84,36.51,38.86,35.83,87471,321930086.71,7.61,-8.29,-3.3,43.53,1700751171.6
2022-08-02,36.51,38.58,39.94,36.5,99020,379366591.63,9.42,5.67,2.07,49.28,1797178312.8
2022-08-03,37.05,38.26,38.26,35.5,80907,297677431.94,7.15,-0.83,-0.32,40.27,1782271701.6
2022-08-04,37.51,36.17,38.15,36.02,59661,220132816.66,5.57,-5.46,-2.09,29.69,1684912897.2
2022-08-05,34.5,33.0,34.94,32.98,67633,227473902.92,5.42,-8.76,-3.17,33.66,1537244280.0
2022-08-08,32.52,33.19,33.3,32.06,38658,126538691.59,3.76,0.58,0.19,19.24,1546095080.3999999
2022-08-09,32.8,33.13,33.69,32.72,34850,115806600.67,2.92,-0.18,-0.06,17.34,1543300090.8000002
2022-08-10,32.8,33.95,34.08,32.65,42304,141998503.92,4.32,2.48,0.82,21.05,1581498282.0000002
2022-08-11,33.76,33.14,33.8,33.08,36826,122662567.13,2.12,-2.39,-0.81,18.33,1543765922.4
2022-08-12,32.87,32.93,33.37,32.73,23047,76132706.62,1.93,-0.63,-0.21,11.47,1533983458.8
2022-08-15,32.75,32.67,32.88,31.72,27192,87794926.3,3.52,-0.79,-0.26,13.53,1521871837.2
2022-08-16,32.87,32.42,32.98,32.33,19142,62496163.38,1.99,-0.77,-0.25,9.53,1510226047.2
