交易日期,代码,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,前收盘价,开盘涨跌幅
2004-01-02,zs000016,997.0,1011.35,1021.57,993.89,80646.0,5742758967.0,0.0,0.0,0.0,0.0,,
2004-01-05,zs000016,1008.28,1060.8,1060.9,1008.28,144681.0,10706463941.0,5.2,4.89,49.45,0.0,1011.35,-0.3
2004-01-06,zs000016,1059.14,1075.66,1086.69,1059.1,169913.0,12416997345.0,2.6,1.4,14.86,0.0,1060.8,-0.16
2004-01-07,zs000016,1075.56,1086.3,1095.84,1070.98,137294.0,10352534788.0,2.31,0.99,10.64,0.0,1075.66,-0.01
2004-01-08,zs000016,1087.68,1102.66,1108.29,1082.51,107804.0,8188926758.0,2.37,1.51,16.36,0.0,1086.3,0.13
2004-01-09,zs000016,1105.77,1081.79,1115.46,1079.07,134674.0,10548445392.0,3.3,-1.89,-20.87,0.0,1102.66,0.28
2004-01-12,zs000016,1081.81,1116.8,1117.51,1079.77,102339.0,8376568721.0,3.49,3.24,35.01,0.0,1081.79,0.0
2004-01-13,zs000016,1120.15,1102.34,1123.66,1089.63,98371.0,7989281144.0,3.05,-1.29,-14.46,0.0,1116.8,0.3
2004-01-14,zs000016,1101.45,1079.72,1101.67,1076.87,71204.0,5343577668.0,2.25,-2.05,-22.62,0.0,1102.34,-0.08
2004-01-15,zs000016,1078.53,1073.98,1088.67,1070.73,61792.0,4755875010.0,1.66,-0.53,-5.74,0.0,1079.72,-0.11
2004-01-16,zs000016,1076.64,1083.65,1087.82,1067.85,71741.0,5520318130.0,1.86,0.9,9.67,0.0,1073.98,0.25
2004-01-29,zs000016,1086.66,1100.6,1101.03,1084.46,57912.0,4529581998.0,1.53,1.56,16.95,0.0,1083.65,0.28
2004-01-30,zs000016,1102.17,1067.55,1103.7,1066.45,77611.0,5943973870.0,3.38,-3.0,-33.05,0.0,1100.6,0.14
2004-02-02,zs000016,1107.49,1091.73,1116.31,1069.97,154329.0,11668205473.0,4.34,2.27,24.18,0.0,1067.55,3.74
2004-02-03,zs000016,1091.87,1102.95,1103.24,1084.39,84111.0,6827915398.0,1.73,1.03,11.22,0.0,1091.73,0.01
2004-02-04,zs000016,1104.74,1128.44,1130.14,1104.74,105349.0,8915089429.0,2.3,2.31,25.49,0.0,1102.95,0.16
2004-02-05,zs000016,1135.62,1127.9,1136.42,1118.17,97743.0,8521830200.0,1.62,-0.05,-0.54,0.0,1128.44,0.64
2004-02-06,zs000016,1125.49,1122.08,1139.09,1108.91,111403.0,9086959709.0,2.68,-0.52,-5.82,0.0,1127.9,-0.21
2004-02-09,zs000016,1122.29,1134.61,1134.91,1122.28,85983.0,7038850173.0,1.13,1.12,12.53,0.0,1122.08,0.02
2004-02-10,zs000016,1137.72,1120.96,1141.99,1116.93,86627.0,7084279413.0,2.21,-1.2,-13.65,0.0,1134.61,0.27
2004-02-11,zs000016,1121.81,1110.06,1123.77,1100.24,92463.0,7161101296.0,2.1,-0.97,-10.9,0.0,1120.96,0.08
2004-02-12,zs000016,1110.84,1094.11,1122.48,1092.29,95815.0,7735862225.0,2.72,-1.44,-15.95,0.0,1110.06,0.07
2004-02-13,zs000016,1094.0,1096.36,1105.82,1088.86,69048.0,5758474874.0,1.55,0.21,2.25,0.0,1094.11,-0.01
2004-02-16,zs000016,1098.86,1123.75,1124.36,1098.86,76234.0,6197794454.0,2.33,2.5,27.39,0.0,1096.36,0.23
2004-02-17,zs000016,1127.1,1123.62,1132.71,1121.28,88158.0,7856931164.0,1.02,-0.01,-0.13,0.0,1123.75,0.3
2004-02-18,zs000016,1123.7,1129.28,1136.53,1119.63,80937.0,7208809235.0,1.5,0.5,5.66,0.0,1123.62,0.01
2004-02-19,zs000016,1130.4,1122.38,1138.08,1119.67,71308.0,6217181258.0,1.63,-0.61,-6.9,0.0,1129.28,0.1
2004-02-20,zs000016,1122.93,1124.66,1125.37,1112.94,59887.0,5258601253.0,1.11,0.2,2.28,0.0,1122.38,0.05
2004-02-23,zs000016,1126.23,1093.14,1129.52,1092.01,88025.0,7258275895.0,3.34,-2.8,-31.52,0.0,1124.66,0.14
