交易日期,代码,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,前收盘价,开盘涨跌幅
2005-01-04,zs000905,996.68,986.93,996.68,984.8,2323762.0,1329187122.0,0.0,0.0,0.0,0.02,,
2005-01-05,zs000905,986.57,1003.63,1008.86,985.68,3486101.0,1919861791.0,2.35,1.69,16.7,0.03,986.93,-0.04
2005-01-06,zs000905,1003.49,994.6,1003.49,990.79,2933905.0,1629216031.0,1.27,-0.9,-9.03,0.03,1003.63,-0.01
2005-01-07,zs000905,993.43,997.61,1009.0,990.45,3391626.0,1906530712.0,1.87,0.3,3.01,0.03,994.6,-0.12
2005-01-10,zs000905,996.93,1006.34,1006.46,993.12,2949405.0,1650218869.0,1.34,0.88,8.73,0.03,997.61,-0.07
2005-01-11,zs000905,1006.21,1008.34,1009.5,999.86,3136115.0,1778497883.0,0.96,0.2,2.0,0.03,1006.34,-0.01
2005-01-12,zs000905,1008.01,1008.62,1008.74,998.36,3196393.0,1825638693.0,1.03,0.03,0.28,0.03,1008.34,-0.03
2005-01-13,zs000905,1008.1,1013.07,1014.84,1005.35,4715733.0,2716827481.0,0.94,0.44,4.45,0.04,1008.62,-0.05
2005-01-14,zs000905,1012.7,1000.17,1019.48,999.27,4016937.0,2284638759.0,1.99,-1.27,-12.9,0.04,1013.07,-0.04
2005-01-17,zs000905,990.99,977.52,991.02,974.33,4358603.0,2418653726.0,1.67,-2.26,-22.65,0.04,1000.17,-0.92
2005-01-18,zs000905,977.6,991.42,991.84,974.15,4516132.0,2523669419.0,1.81,1.42,13.9,0.04,977.52,0.01
2005-01-19,zs000905,991.29,986.24,991.29,981.23,4255249.0,2304569213.0,1.01,-0.52,-5.18,0.04,991.42,-0.01
2005-01-20,zs000905,983.2,972.46,983.2,966.89,4652048.0,2588992483.0,1.65,-1.4,-13.78,0.04,986.24,-0.31
2005-01-21,zs000905,971.5,988.52,989.72,951.43,6185255.0,3412342279.0,3.94,1.65,16.06,0.06,972.46,-0.1
2005-01-24,zs000905,1009.95,1008.18,1009.95,998.37,7323355.0,4105828975.0,1.17,1.99,19.66,0.07,988.52,2.17
2005-01-25,zs000905,1006.0,999.55,1006.0,989.95,4694803.0,2651186737.0,1.59,-0.86,-8.63,0.04,1008.18,-0.22
2005-01-26,zs000905,997.64,987.96,997.64,985.67,4113900.0,2238628613.0,1.2,-1.16,-11.59,0.04,999.55,-0.19
2005-01-27,zs000905,986.15,971.37,986.15,970.35,4123213.0,2214822674.0,1.6,-1.68,-16.59,0.04,987.96,-0.18
2005-01-28,zs000905,971.37,952.41,971.94,949.11,4072373.0,2106037353.0,2.35,-1.95,-18.96,0.04,971.37,0.0
2005-01-31,zs000905,948.44,922.65,948.44,921.58,4095099.0,2058937471.0,2.82,-3.12,-29.76,0.04,952.41,-0.42
2005-02-01,zs000905,919.8,913.33,929.69,911.93,4199745.0,2076599356.0,1.92,-1.01,-9.32,0.04,922.65,-0.31
2005-02-02,zs000905,913.03,964.24,964.42,913.03,6553566.0,3522826077.0,5.63,5.57,50.91,0.06,913.33,-0.03
2005-02-03,zs000905,963.75,945.31,967.94,944.76,6371300.0,3476526549.0,2.4,-1.96,-18.93,0.06,964.24,-0.05
2005-02-04,zs000905,944.45,962.03,963.81,943.47,5193013.0,2874284614.0,2.15,1.77,16.72,0.05,945.31,-0.09
2005-02-16,zs000905,967.43,972.34,979.3,965.94,4693322.0,2555290412.0,1.39,1.07,10.31,0.04,962.03,0.56
2005-02-17,zs000905,971.84,977.27,977.44,964.32,4031958.0,2081885379.0,1.35,0.51,4.93,0.04,972.34,-0.05
2005-02-18,zs000905,977.12,964.77,977.12,964.55,4112811.0,2134898913.0,1.29,-1.28,-12.5,0.04,977.27,-0.02
2005-02-21,zs000905,965.0,981.82,981.89,964.47,4765203.0,2568576863.0,1.81,1.77,17.05,0.04,964.77,0.02
2005-02-22,zs000905,982.42,1007.69,1008.67,980.51,9575789.0,5328306279.0,2.87,2.63,25.87,0.09,981.82,0.06
2005-02-23,zs000905,1008.29,1019.26,1023.33,1002.8,10201823.0,5822771921.0,2.04,1.15,11.57,0.09,1007.69,0.06
2005-02-24,zs000905,1018.29,1024.45,1024.87,1012.45,8683232.0,4874675166.0,1.22,0.51,5.19,0.08,1019.26,-0.1
2005-02-25,zs000905,1024.57,1024.12,1035.47,1023.74,9650761.0,5608389732.0,1.15,-0.03,-0.33,0.09,1024.45,0.01
