feature_name,importance,feature_index,importance_rank,importance_percent,cumulative_percent
step_29_个股_换手率,71,467,1,1.3532,1.3532
step_29_个股_涨跌幅,69,465,2,1.315,2.6682
step_24_个股_振幅,63,385,3,1.2007,3.8689
step_29_个股_振幅,57,468,4,1.0863,4.9552
step_21_个股_涨跌幅,56,335,5,1.0673,6.0225
step_26_个股_振幅,53,418,6,1.0101,7.0326
step_28_个股_振幅,53,453,7,1.0101,8.0427
step_16_个股_涨跌幅,52,257,8,0.991,9.0337
step_28_个股_涨跌幅,48,450,9,0.9148,9.9485
step_02_个股_涨跌幅,47,34,10,0.8957,10.8442
step_21_个股_振幅,47,338,11,0.8957,11.7399
step_12_个股_振幅,47,194,12,0.8957,12.6356
step_25_个股_涨跌幅,46,397,13,0.8767,13.5123
step_17_个股_涨跌幅,46,277,14,0.8767,14.389
step_27_个股_振幅,46,436,15,0.8767,15.2657
step_17_个股_振幅,45,280,16,0.8576,16.1233
step_26_个股_涨跌幅,45,415,17,0.8576,16.9809
step_22_个股_涨跌幅,44,349,18,0.8386,17.8195
step_01_个股_振幅,43,22,19,0.8195,18.639
step_05_个股_涨跌幅,41,80,20,0.7814,19.4204
step_00_个股_涨跌幅,41,3,21,0.7814,20.2018
step_22_个股_振幅,40,352,22,0.7623,20.9641
step_14_个股_振幅,40,227,23,0.7623,21.7264
step_19_个股_涨跌幅,39,305,24,0.7433,22.4697
step_24_个股_涨跌幅,39,382,25,0.7433,23.213
step_14_个股_涨跌幅,38,224,26,0.7242,23.9372
step_10_个股_振幅,38,162,27,0.7242,24.6614
step_19_个股_振幅,38,308,28,0.7242,25.3856
step_09_个股_振幅,38,145,29,0.7242,26.1098
step_08_个股_振幅,37,129,30,0.7052,26.815
step_11_个股_涨跌幅,37,176,31,0.7052,27.5202
step_13_个股_涨跌幅,36,208,32,0.6861,28.2063
step_05_个股_振幅,35,83,33,0.667,28.8733
step_15_个股_涨跌幅,35,239,34,0.667,29.5403
step_13_个股_振幅,34,211,35,0.648,30.1883
step_00_个股_振幅,34,5,36,0.648,30.8363
step_04_个股_涨跌幅,33,64,37,0.6289,31.4652
step_27_个股_涨跌幅,33,433,38,0.6289,32.0941
step_29_个股_成交额,33,466,39,0.6289,32.723
step_19_个股_成交额,32,306,40,0.6099,33.3329
step_03_个股_振幅,32,52,41,0.6099,33.9428
RSI_开盘价,32,483,42,0.6099,34.5527
step_26_个股_换手率,32,417,43,0.6099,35.1626
step_08_个股_涨跌幅,31,126,44,0.5908,35.7534
step_06_个股_振幅,30,99,45,0.5718,36.3252
step_15_个股_振幅,30,242,46,0.5718,36.897
