feature_name,importance,feature_index,importance_rank,importance_percent,cumulative_percent
step_22_情绪_sentiment_0,33,429,233,0.138,75.9996
step_18_个股_MACD,33,344,234,0.138,76.1376
step_01_个股_流通市值,33,26,235,0.138,76.2756
step_18_情绪_sentiment_0,33,356,236,0.138,76.4136
step_05_个股_流通市值,33,105,237,0.138,76.5516
step_22_个股_MACD,32,417,238,0.1338,76.6854
step_03_行业_涨跌幅,32,73,239,0.1338,76.8192
step_08_情绪_sentiment_1,32,172,240,0.1338,76.953
step_20_个股_MACD_signal,32,381,241,0.1338,77.0868
step_04_行业_成交量,32,91,242,0.1338,77.2206
step_05_行业_涨跌幅,31,113,243,0.1296,77.3502
step_11_情绪_sentiment_1,31,229,244,0.1296,77.4798
step_13_情绪_sentiment_1,31,261,245,0.1296,77.6094
step_18_个股_成交量,31,337,246,0.1296,77.739
step_28_情绪_sentiment_0,30,544,247,0.1255,77.8645
step_29_个股_收盘价,30,547,248,0.1255,77.99
step_15_个股_成交量,30,279,249,0.1255,78.1155
step_22_行业_涨跌幅,30,423,250,0.1255,78.241
step_17_行业_涨跌幅,30,328,251,0.1255,78.3665
step_25_行业_成交量,29,476,252,0.1213,78.4878
step_22_个股_MACD_signal,29,418,253,0.1213,78.6091
step_19_个股_流通市值,29,361,254,0.1213,78.7304
step_04_情绪_sentiment_1,29,98,255,0.1213,78.8517
step_23_情绪_sentiment_1,29,448,256,0.1213,78.973
step_21_行业_涨跌幅,29,403,257,0.1213,79.0943
step_15_情绪_sentiment_1,28,296,258,0.1171,79.2114
step_14_行业_成交量,28,272,259,0.1171,79.3285
Momentum10D_最低价,28,589,260,0.1171,79.4456
step_13_行业_涨跌幅,28,256,261,0.1171,79.5627
step_20_情绪_sentiment_0,28,390,262,0.1171,79.6798
step_27_行业_涨跌幅,28,519,263,0.1171,79.7969
step_05_个股_MACD,28,107,264,0.1171,79.914
step_05_行业_成交量,28,112,265,0.1171,80.0311
step_01_行业_成交量,28,34,266,0.1171,80.1482
step_08_行业_涨跌幅,28,166,267,0.1171,80.2653
step_00_行业_涨跌幅,28,15,268,0.1171,80.3824
step_11_个股_MACD_signal,28,219,269,0.1171,80.4995
step_29_个股_最高价,28,548,270,0.1171,80.6166
step_20_个股_MACD,28,380,271,0.1171,80.7337
step_12_行业_涨跌幅,28,241,272,0.1171,80.8508
step_11_行业_涨跌幅,28,223,273,0.1171,80.9679
step_24_行业_成交量,27,460,274,0.1129,81.0808
step_05_情绪_sentiment_0,27,119,275,0.1129,81.1937
step_12_情绪_sentiment_0,27,245,276,0.1129,81.3066
step_24_个股_流通市值,27,455,277,0.1129,81.4195
step_20_个股_流通市值,27,378,278,0.1129,81.5324
step_04_个股_流通市值,27,86,279,0.1129,81.6453
step_28_行业_涨跌幅,27,539,280,0.1129,81.7582
step_23_个股_MACD_signal,27,438,281,0.1129,81.8711
step_10_行业_涨跌幅,27,205,282,0.1129,81.984
step_28_指数_深证成指,27,542,283,0.1129,82.0969
step_21_个股_MACD,27,399,284,0.1129,82.2098
Momentum5D_最低价,27,588,285,0.1129,82.3227
step_19_情绪_sentiment_1,27,373,286,0.1129,82.4356
step_18_行业_涨跌幅,26,351,287,0.1087,82.5443
step_19_行业_涨跌幅,26,367,288,0.1087,82.653
step_11_行业_成交量,26,222,289,0.1087,82.7617
step_26_行业_涨跌幅,26,498,290,0.1087,82.8704
step_26_个股_流通市值,26,490,291,0.1087,82.9791
step_01_情绪_sentiment_0,26,40,292,0.1087,83.0878
step_11_情绪_sentiment_0,26,228,293,0.1087,83.1965
step_02_情绪_sentiment_0,26,57,294,0.1087,83.3052
step_21_行业_成交量,26,402,295,0.1087,83.4139
step_00_行业_成交量,26,14,296,0.1087,83.5226
step_07_情绪_sentiment_1,25,157,297,0.1046,83.6272
step_24_行业_涨跌幅,25,461,298,0.1046,83.7318
step_08_情绪_sentiment_0,25,171,299,0.1046,83.8364
step_14_情绪_sentiment_1,25,278,300,0.1046,83.941
step_18_个股_流通市值,25,342,301,0.1046,84.0456
step_26_个股_收盘价,24,484,302,0.1004,84.146
Momentum10D_开盘价,24,573,303,0.1004,84.2464
step_16_个股_MACD,24,305,304,0.1004,84.3468
step_15_情绪_sentiment_0,24,295,305,0.1004,84.4472
step_00_指数_深证成指,24,17,306,0.1004,84.5476
step_04_情绪_sentiment_0,24,97,307,0.1004,84.648
step_15_行业_成交量,24,291,308,0.1004,84.7484
step_12_情绪_sentiment_1,24,246,309,0.1004,84.8488
step_09_行业_成交量,24,184,310,0.1004,84.9492
step_08_个股_流通市值,24,161,311,0.1004,85.0496
step_04_行业_涨跌幅,24,92,312,0.1004,85.15
step_03_个股_开盘价,24,59,313,0.1004,85.2504
step_16_个股_收盘价,24,297,314,0.1004,85.3508
step_16_个股_流通市值,23,303,315,0.0962,85.447
step_06_行业_成交量,23,132,316,0.0962,85.5432
step_26_行业_成交量,23,497,317,0.0962,85.6394
step_17_情绪_sentiment_0,23,334,318,0.0962,85.7356
step_17_情绪_sentiment_1,23,335,319,0.0962,85.8318
step_25_个股_MACD_signal,23,475,320,0.0962,85.928
step_25_行业_涨跌幅,23,477,321,0.0962,86.0242
step_14_行业_涨跌幅,23,273,322,0.0962,86.1204
step_08_行业_成交量,23,165,323,0.0962,86.2166
step_10_行业_成交量,23,204,324,0.0962,86.3128
step_11_个股_流通市值,23,217,325,0.0962,86.409
step_27_行业_成交量,23,518,326,0.0962,86.5052
step_25_情绪_sentiment_0,23,482,327,0.0962,86.6014
step_03_情绪_sentiment_1,23,79,328,0.0962,86.6976
step_29_行业_成交量,23,560,329,0.0962,86.7938
step_29_个股_开盘价,23,546,330,0.0962,86.89
step_02_行业_涨跌幅,23,54,331,0.0962,86.9862
step_16_情绪_sentiment_1,23,315,332,0.0962,87.0824
step_06_行业_涨跌幅,22,133,333,0.092,87.1744
step_20_行业_成交量,22,384,334,0.092,87.2664
step_21_个股_流通市值,22,397,335,0.092,87.3584
step_00_情绪_sentiment_1,22,20,336,0.092,87.4504
step_22_个股_BB_upper,22,419,337,0.092,87.5424
step_09_情绪_sentiment_1,22,191,338,0.092,87.6344
step_18_行业_成交量,22,350,339,0.092,87.7264
step_28_行业_成交量,22,538,340,0.092,87.8184
step_15_个股_流通市值,22,284,341,0.092,87.9104
step_03_个股_BB_upper,22,68,342,0.092,88.0024
step_05_情绪_sentiment_1,22,120,343,0.092,88.0944
step_03_行业_成交量,22,72,344,0.092,88.1864
step_14_个股_开盘价,21,262,345,0.0878,88.2742
step_10_指数_深证成指,21,208,346,0.0878,88.362
step_22_个股_开盘价,21,411,347,0.0878,88.4498
step_22_行业_成交量,21,422,348,0.0878,88.5376
step_03_个股_流通市值,21,64,349,0.0878,88.6254
