概念代码,概念名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高价,最低价,开盘价,昨收价,总市值,流通市值,主力净流入,主力净流入占比,总股本,更新时间
BK0816,昨日连板,239.93,5.15,11.75,15739217,23952785770.0,1.21,240.79,238.03,239.7,228.18,201531448000,183041938000,-1223376400.0,-5.11,1319148032.0,1754552381
BK1051,昨日连板_含一字,77586.96,4.89,3618.9,16392272,25365475435.0,2.06,77954.41,76430.1,77874.3,73968.06,215738343000,196111558000,-1458167296.0,-5.75,1520987904.0,1754552381
BK0578,稀土永磁,3088.53,3.69,109.77,57091105,76753391667.0,5.73,3114.72,2943.99,2987.02,2978.76,1210226176000,1060968368000,2140598784.0,2.79,-2025397760.0,1754552381
BK1050,昨日涨停_含一字,1698.97,2.65,43.87,73692014,109541774333.0,1.78,1715.34,1685.86,1711.35,1655.1,998279216000,902207200000,-7270082816.0,-6.64,5517692160.0,1754552381
BK0815,昨日涨停,4579.23,2.62,117.05,73038959,108129084668.0,1.53,4620.92,4552.75,4607.94,4462.18,984072320000,889137584000,-7035292160.0,-6.51,5315852288.0,1754552381
BK0706,人脑工程,5364.3,1.84,96.77,13893508,23543132699.0,2.26,5364.3,5245.33,5256.17,5267.53,549803664000,480657168000,-580022896.0,-2.46,654381056.0,1754552381
BK1137,存储芯片,1495.4,1.82,26.66,19251504,48714952598.0,2.59,1507.05,1468.95,1468.95,1468.74,1164424432000,961717648000,2364062464.0,4.85,-965363968.0,1754552381
BK0954,盲盒经济,1324.22,1.75,22.77,3534780,5044373142.0,2.31,1325.86,1295.84,1299.62,1301.45,129701431000,98619605000,222500944.0,4.41,-140132688.0,1754552381
BK1054,DRG/DIP,1248.3,1.44,17.73,8137389,10821718111.0,2.73,1265.02,1231.37,1231.37,1230.57,189744301000,178099554000,-171231520.0,-1.58,105584384.0,1754552381
BK0643,上海自贸,3460.27,1.34,45.69,10730858,16843359264.0,1.67,3464.75,3407.72,3408.1,3414.58,982341920000,776333760000,79061984.0,0.47,57050368.0,1754552381
BK1048,IGBT概念,889.05,1.32,11.59,14400724,33979299975.0,2.55,897.55,875.21,875.86,877.46,2064385888000,1359949744000,1010480640.0,2.97,-292230400.0,1754552381
BK1183,谷子经济,1200.0,1.25,14.76,24771089,29533314830.0,1.43,1200.33,1183.33,1185.59,1185.24,682341328000,618385264000,842140304.0,2.85,-287219456.0,1754552381
BK0969,汽车芯片,1254.36,1.21,14.98,15196320,41979694398.0,2.14,1265.11,1238.61,1242.31,1239.38,1316923056000,1210188624000,651266560.0,1.55,-307087872.0,1754552381
BK1175,玻璃基板,1564.9,1.19,18.37,11315169,16671213029.0,1.71,1566.88,1540.37,1546.6,1546.53,505300400000,455340400000,-336497552.0,-2.02,228152128.0,1754552381
BK0990,快递概念,1104.49,1.19,12.94,15666294,13225346449.0,1.64,1107.51,1089.63,1089.63,1091.55,659563360000,605383552000,520526816.0,3.94,-451129376.0,1754552381
BK0891,国产芯片,3573.81,1.17,41.43,114706417,256199177194.0,1.67,3590.09,3531.03,3534.76,3532.38,10221894144000,8191791360000,2762090496.0,1.08,566606592.0,1754552381
BK1023,培育钻石,1617.76,1.14,18.25,3586458,6555637888.0,1.68,1620.87,1594.0,1611.37,1599.51,183133044000,174361852000,-102742048.0,-1.57,116319840.0,1754552381
BK0917,半导体概念,1864.08,1.14,20.95,88368905,215667147155.0,1.69,1872.22,1841.07,1844.68,1843.13,8422466304000,6339580928000,1950064384.0,0.9,476139008.0,1754552381
BK0946,EDA概念,1320.67,1.07,13.96,3002230,9141884529.0,1.8,1325.61,1302.1,1312.64,1306.71,249709775000,233798075000,-90582496.0,-0.99,125058240.0,1754552381
BK0964,6G概念,1572.6,1.06,16.52,11592912,20541297117.0,1.35,1572.8,1551.74,1555.24,1556.08,543034512000,470146992000,-248436016.0,-1.21,567056384.0,1754552381
BK0880,UWB概念,1720.72,1.06,18.01,11756124,16532297900.0,1.28,1725.05,1703.33,1710.1,1702.71,367920432000,348840976000,-4419648.0,-0.03,293788720.0,1754552381
BK0957,拼多多概念,1475.98,1.03,15.1,4933536,7973885067.0,1.17,1481.99,1464.85,1464.85,1460.88,155496529000,137855972000,408050912.0,5.12,-251702752.0,1754552381
BK0850,进口博览,1065.79,1.03,10.84,4297355,3423544476.0,1.27,1066.49,1053.09,1053.25,1054.95,245476558000,216582102000,-5612320.0,-0.16,71069344.0,1754552381
BK0916,氮化镓,1446.27,1.02,14.65,14693930,32443419250.0,1.74,1456.35,1431.51,1431.57,1431.62,1012435264000,940826752000,364732560.0,1.12,154586624.0,1754552381
BK0977,碳化硅,1535.03,1.0,15.22,11266819,18993658871.0,1.62,1541.19,1516.64,1521.25,1519.81,641432992000,573666480000,-263697168.0,-1.39,435431424.0,1754552381
BK1086,粮食概念,814.03,1.0,8.02,8782629,6044414890.0,1.32,815.38,804.75,806.46,806.01,245314347000,209324183000,139391600.0,2.31,-135737088.0,1754552381
BK0965,社区团购,940.92,0.91,8.51,7916348,6581133549.0,1.2,942.84,931.61,931.61,932.41,563997856000,389161424000,228980352.0,3.48,-43562784.0,1754552381
BK0817,昨日触板,59.12,0.9,0.53,11119126,22255789835.0,1.95,59.18,58.04,58.06,58.59,339665472000,290568432000,-445989200.0,-2.0,366607104.0,1754552381
BK0511,ST股,6611.43,0.9,59.25,26914279,14495607114.0,0.95,6624.62,6562.32,6563.5,6552.18,731597616000,647048688000,-241148160.0,-1.66,91950064.0,1754552381
BK1173,锂矿概念,1314.06,0.89,11.61,12996646,29313619238.0,1.98,1314.96,1289.14,1305.51,1302.45,2648584272000,2376857712000,684345600.0,2.33,-826651648.0,1754552381
BK0907,转基因,1583.54,0.87,13.72,4310570,3256322232.0,1.59,1590.79,1565.82,1570.95,1569.82,128020034000,111650831000,100019432.0,3.07,-83912720.0,1754552381
BK0892,乳业,1199.35,0.86,10.21,8310650,8048715476.0,1.56,1202.82,1184.31,1186.9,1189.14,471370720000,445081472000,102832480.0,1.28,-61833728.0,1754552381
BK0951,刀片电池,2529.24,0.85,21.4,3837996,11705099238.0,1.24,2540.25,2509.07,2509.07,2507.84,1106786320000,494769184000,761271792.0,6.5,-351720192.0,1754552381
BK0672,沪企改革,2866.27,0.83,23.68,15601784,17287919636.0,1.18,2869.16,2835.59,2840.26,2842.59,996917680000,898990000000,38077040.0,0.22,27373056.0,1754552381
BK0952,第三代半导体,1557.73,0.83,12.85,33481898,64100782456.0,1.63,1565.85,1540.63,1542.98,1544.88,1811444832000,1627437216000,-54172160.0,-0.08,571131392.0,1754552381
BK0893,无线耳机,2052.67,0.83,16.87,30740395,69817845262.0,1.11,2066.89,2044.28,2046.31,2035.8,2264206880000,2033288960000,755108352.0,1.08,333339648.0,1754552381
BK0994,空间站概念,1925.71,0.83,15.79,11844483,14894445551.0,1.82,1935.58,1900.79,1922.04,1909.92,239347172000,223045991000,-262049936.0,-1.76,263438848.0,1754552381
BK1132,MLOps概念,1112.15,0.82,9.1,4757633,6915459217.0,1.81,1118.35,1098.4,1100.91,1103.05,179423279000,173787415000,-387016912.0,-5.6,306172032.0,1754552381
BK1125,电子后视镜,1663.45,0.82,13.57,6778958,9761636883.0,1.11,1668.37,1650.12,1652.04,1649.88,373807120000,335294688000,340911520.0,3.49,-191266352.0,1754552381
BK0902,MiniLED,1925.24,0.79,15.14,21689734,28940998244.0,1.21,1935.09,1911.94,1913.81,1910.1,1012662864000,903870416000,490813248.0,1.7,-145694464.0,1754552381
BK1130,时空大数据,1435.1,0.79,11.25,9219850,10002193723.0,1.37,1439.8,1420.32,1427.19,1423.85,229512959000,194440737000,371153632.0,3.71,-137466784.0,1754552381
BK0993,宠物经济,1009.87,0.79,7.91,11279305,17485771735.0,1.02,1012.45,1002.25,1002.35,1001.96,441299216000,365303472000,73467600.0,0.42,-42813184.0,1754552381
BK0935,中芯概念,1391.29,0.78,10.79,11965086,38875352197.0,1.6,1399.98,1377.92,1383.88,1380.5,2475812208000,1808878544000,859901696.0,2.21,-230951168.0,1754552381
BK0677,粤港自贸,3275.3,0.77,25.0,14375199,14537900646.0,0.98,3278.7,3246.82,3250.72,3250.3,1078560336000,930518656000,35016208.0,0.24,122614784.0,1754552381
BK0928,抖音小店,1318.78,0.72,9.38,9127352,5934942346.0,0.89,1321.0,1309.39,1309.39,1309.4,247902532000,227581812000,76582560.0,1.29,9800128.0,1754552381
BK0547,黄金概念,15081.8,0.71,106.59,32811266,30268752033.0,1.11,15086.89,14921.1,14979.45,14975.21,2086517936000,1756989200000,128462336.0,0.42,-145580800.0,1754552381
BK0837,互联医疗,1131.09,0.69,7.8,35915105,52332624847.0,1.21,1136.91,1123.31,1123.31,1123.29,4961677312000,2125119584000,-757038592.0,-1.45,972614656.0,1754552381
BK0822,租售同权,784.9,0.69,5.37,8131563,8820596261.0,1.14,786.3,777.39,779.34,779.53,411041568000,382374848000,7145008.0,0.08,26927136.0,1754552381
BK1077,统一大市场,1372.79,0.69,9.36,13510837,8396932415.0,1.15,1375.77,1360.15,1362.9,1363.43,412081792000,351830384000,-151558304.0,-1.8,127217664.0,1754552381
