feature,importance
concept_东数西算_pct,2281.72998046875
industry_化学制品_pct,2256.0169982910156
industry_铁路公路_pct,2240.1809997558594
concept_知识产权_pct,2237.6139526367188
industry_贸易行业_pct,2215.967041015625
industry_医疗器械_pct,2204.0029907226562
industry_交运设备_pct,2202.431523680687
industry_游戏_pct,2188.7000274658203
industry_船舶制造_pct,2160.9889526367188
concept_超级品牌_pct,2109.414031982422
concept_重组蛋白_pct,2080.011016845703
concept_抽水蓄能_pct,2075.9680786132812
concept_WiFi_pct,2074.248992919922
concept_数字阅读_pct,1987.1210021972656
concept_GDR_pct,1978.4130249023438
concept_高带宽内存_pct,1961.35302734375
concept_统一大市场_pct,1954.949951171875
concept_无线充电_pct,1870.9100341796875
concept_EDR概念_pct,1824.7656927108765
收盘价,1750.7267422676086
concept_超级真菌_pct,1716.0849609375
concept_UWB概念_pct,1712.9200439453125
concept_铜缆高速连接_pct,1701.9250183105469
concept_破净股_x_ret,1629.8010883331299
industry_家用轻工_pct,1582.3544960021973
concept_工程机械概念_pct,1563.3299560546875
concept_星闪概念_pct,1549.050048828125
最低价,1545.1715769171715
concept_EDA概念_pct,1530.6809997558594
concept_油气设服_pct,1502.8499755859375
concept_小红书概念_pct,1485.9744491577148
concept_快递概念_pct,1475.5669860839844
concept_电子烟_pct,1473.56005859375
industry_化肥行业_pct,1425.3273811340332
industry_化纤行业_pct,1420.6239624023438
concept_融资融券_x_ret,1385.3919467926025
concept_可燃冰_pct,1374.8350524902344
concept_MSCI中国_x_ret,1357.7750978469849
industry_橡胶制品_pct,1339.5910034179688
concept_同步磁阻电机_pct,1335.0699462890625
concept_海工装备_pct,1330.9290237426758
concept_华为海思_pct,1328.2080078125
industry_医药商业_pct,1227.4410095214844
concept_地热能_pct,1204.2099609375
industry_家电行业_pct,1199.6716232299805
concept_化债(AMC)概念_pct,1179.0690002441406
concept_MiniLED_pct,1137.31005859375
industry_酿酒行业_pct,1122.6229934692383
concept_昨日涨停_含一字_pct,1117.469970703125
concept_AI芯片_pct,1105.4299774169922
concept_抗菌面料_pct,1085.010009765625
concept_ST股,1075.4367423057556
concept_数据安全_pct,1071.4080200195312
industry_工程咨询服务_pct,1068.3049926757812
concept_发电机概念_pct,1067.5049743652344
concept_荣耀概念_pct,1065.5400390625
concept_PVDF概念_pct,1064.760009765625
concept_央国企改革_x_ret,1059.891177892685
concept_AI制药（医疗）_pct,997.5479736328125
concept_DeepSeek概念_pct,968.0180053710938
concept_低空经济_pct,964.2040100097656
industry_医疗服务_pct,964.0950012207031
concept_北斗导航_pct,950.3779907226562
concept_中芯概念_pct,934.4129943847656
concept_PLC概念_pct,927.2999877929688
concept_粮食概念_pct,916.4209899902344
concept_噪声防治_pct,904.8179931640625
industry_通信设备_pct,904.4900054931641
concept_专精特新_x_ret,900.0882992744446
concept_租售同权_pct,891.3409729003906
concept_植物照明_pct,880.625
concept_人脑工程_pct,878.5750122070312
concept_参股银行_pct,872.447998046875
concept_电子纸概念_pct,871.8699951171875
concept_京津冀_pct,859.39697265625
concept_一带一路_pct,857.7320251464844
concept_汽车芯片_pct,838.8280029296875
concept_股权转让_pct,807.7650146484375
concept_新零售_pct,805.6929931640625
concept_电子车牌_pct,804.875
concept_上证180__x_ret,800.9568214416504
concept_军工_pct,795.823974609375
concept_HS300__x_ret,791.6009979248047
concept_工业气体_pct,785.3740234375
concept_共享经济_pct,780.2769927978516
concept_房屋检测_pct,773.97998046875
concept_抖音概念(字节概念)_pct,759.5670166015625
concept_工业母机_pct,745.9329833984375
concept_中字头_pct,745.0829772949219
concept_医废处理_pct,737.0070190429688
concept_科创板做市商_pct,735.7730102539062
concept_上证50__pct,731.4747085571289
concept_娃哈哈概念_pct,731.3150024414062
industry_生物制品_pct,710.7065734863281
concept_CAR-T细胞疗法_pct,707.5020141601562
concept_海洋经济_pct,697.85498046875
concept_沪股通_x_ret,696.2314929962158
concept_超级电容_pct,684.447998046875
concept_赛马概念_pct,645.583984375
concept_中俄贸易概念_pct,645.573974609375
concept_精准医疗_pct,625.8280029296875
concept_富时罗素_pct,606.3179931640625
concept_华为汽车_pct,603.5159912109375
concept_上海自贸_pct,581.0889892578125
concept_新型城镇化_pct,580.0689697265625
concept_建筑节能_pct,550.030029296875
concept_旅游概念_pct,544.7460021972656
concept_Kimi概念_pct,530.7449951171875
concept_HIT电池_pct,526.4140014648438
concept_中药概念_x_ret,494.87051010131836
concept_MLCC_pct,484.8789825439453
concept_远程办公_pct,462.9149932861328
concept_大飞机_pct,455.07598876953125
concept_净水概念_pct,436.2019958496094
industry_水泥建材_pct,434.881290435791
industry_文化传媒,432.8031978607178
concept_存储芯片_pct,432.3370056152344
concept_数据确权_pct,419.7879943847656
concept_次新股_pct,419.5580139160156
concept_证金持股_pct,417.11700439453125
concept_土壤修复_pct,412.10699462890625
industry_消费电子_pct,397.48699951171875
industry_房地产开发,388.47478103637695
industry_电力行业,381.4528398513794
concept_裸眼3D_pct,378.48558807373047
concept_破净股,373.67004120349884
industry_化学制药,373.29679679870605
concept_特高压_pct,364.96099853515625
concept_减速器_pct,358.33599853515625
concept_上证180__pct,348.9129943847656
concept_ST股_x_ret,347.7557144165039
concept_信创,334.2502040863037
concept_液冷概念_pct,331.54998779296875
concept_F5G概念_pct,321.4580078125
concept_华为概念_x_ret,310.2020015716553
concept_空间计算_pct,308.7560119628906
concept_ETC_pct,296.47761154174805
concept_激光雷达_pct,294.8789978027344
concept_水产养殖_pct,294.7980041503906
industry_文化传媒_pct,289.9737014770508
concept_英伟达概念_pct,272.73199462890625
concept_央视50__pct,271.16900634765625
concept_宁组合_pct,269.98199462890625
concept_央国企改革,268.855581253767
concept_信创_x_ret,268.3977630138397
concept_退税商店_pct,253.33399963378906
concept_Sora概念_pct,250.95199584960938
concept_医疗器械概念_pct,249.86900329589844
concept_混合现实_pct,248.88299560546875
concept_IGBT概念_pct,244.5850067138672
concept_培育钻石_pct,243.5460968017578
concept_电商概念_x_ret,212.0197982788086
concept_国产芯片_x_ret,197.08849787712097
concept_维生素_pct,188.29539489746094
concept_碳基材料_pct,186.71499633789062
concept_融资融券,182.49775791168213
concept_医疗美容_pct,177.1580047607422
concept_AIPC_pct,171.85800170898438
concept_辅助生殖_pct,171.25100708007812
industry_化学原料_pct,168.91900634765625
concept_MSCI中国,161.38949966430664
concept_燃料电池_pct,158.23899841308594
concept_商汤概念_pct,151.2429962158203
concept_3D打印_pct,145.5989990234375
concept_军工,141.04689979553223
concept_锂矿概念_pct,141.02499389648438
concept_智能电视_pct,139.3520050048828
concept_PCB_pct,136.13099670410156
concept_人工智能,134.93420028686523
industry_农牧饲渔,134.58999824523926
concept_低价股_x_ret,120.875
concept_中药概念,120.60900115966797
industry_汽车零部件_x_ret,113.56744050979614
concept_互联金融,110.67879867553711
concept_大数据_x_ret,109.39579772949219
concept_磁悬浮概念_pct,106.34100341796875
concept_新零售_x_ret,104.05709838867188
concept_华为概念,102.3238115310669
concept_数字货币,102.26529693603516
concept_财税数字化_pct,101.86399841308594
concept_云计算,101.34090042114258
concept_锂电池_x_ret,94.71630096435547
industry_化学制药_x_ret,94.68869590759277
concept_固态电池_x_ret,92.00779724121094
concept_商业航天_x_ret,91.9384994506836
concept_MLOps概念_pct,91.34600067138672
industry_装修装饰_pct,91.0208969116211
concept_微盘股_x_ret,90.48930358886719
concept_社区团购_pct,89.59539794921875
industry_航天航空_pct,83.4468002319336
concept_低价股,78.58530044555664
concept_上证180_,73.16259002685547
concept_流感_x_ret,70.59850311279297
concept_雄安新区_pct,69.10179901123047
concept_深股通_x_ret,67.58253955841064
concept_跨境电商,67.46346139907837
concept_数据中心_pct,67.03610229492188
concept_创新药_x_ret,65.82029724121094
concept_拼多多概念_pct,65.39679718017578
concept_国产软件_x_ret,64.23189926147461
concept_HS300_,60.390163004398346
concept_互联金融_x_ret,56.36940002441406
industry_食品饮料,55.17069911956787
concept_上证380_x_ret,55.166202545166016
concept_一带一路_x_ret,54.054100036621094
concept_网红经济_x_ret,49.50510025024414
concept_机器人概念_x_ret,48.389400482177734
concept_富时罗素_x_ret,46.32780075073242
concept_券商概念,41.314199447631836
concept_大数据,41.0098991394043
concept_固态电池,39.6968994140625
concept_跨境支付,35.32429885864258
industry_半导体,34.660400390625
concept_半导体概念,34.462799072265625
concept_微盘股,34.4567985534668
industry_汽车零部件,29.825599670410156
industry_家电行业,28.91849994659424
concept_煤化工,28.64699935913086
concept_小红书概念,27.237499237060547
concept_百度概念,26.23099994659424
concept_军民融合,25.873899459838867
concept_沪股通,25.74690055847168
concept_标准普尔,24.42840003967285
concept_机器人概念,23.436500549316406
concept_储能_x_ret,22.550199508666992
concept_创新药,21.687400817871094
concept_新能源车_x_ret,21.57166028022766
concept_DeepSeek概念,21.28260040283203
concept_鸿蒙概念_x_ret,20.062299728393555
concept_中字头_x_ret,19.461000442504883
concept_5G概念,19.08370018005371
concept_证金持股,19.0498104095459
concept_军工_x_ret,18.747400283813477
concept_粤港自贸,17.60759925842285
concept_新材料,17.14929962158203
concept_深股通,16.934900283813477
concept_AH股_x_ret,16.245819687843323
concept_太阳能_x_ret,15.904750347137451
concept_中证500_x_ret,15.857399940490723
concept_深成500_x_ret,15.38129997253418
concept_稀土永磁,14.801149845123291
concept_锂电池,14.416899681091309
concept_低空经济,13.937899589538574
concept_专精特新,13.322069883346558
concept_抖音概念(字节概念),12.31149959564209
concept_新能源车,10.151000022888184
concept_富时罗素,9.541879653930664
industry_软件开发,7.687339782714844
concept_预制菜概念,7.420209884643555
concept_绿色电力,6.703000068664551
concept_2025中报扭亏,3.6483099460601807
concept_智能电网,2.9483799934387207
industry_有色金属,0.6795409917831421
concept_影视概念,0.673462986946106
concept_AI制药（医疗）_x_ret,0.0
concept_AI制药（医疗）,0.0
concept_AIPC_x_ret,0.0
concept_AIPC,0.0
concept_AIGC概念_x_ret,0.0
concept_AIGC概念_pct,0.0
concept_AIGC概念,0.0
concept_AH股_pct,0.0
concept_AH股,0.0
concept_AB股_x_ret,0.0
concept_AB股_pct,0.0
concept_AB股,0.0
concept_6G概念_x_ret,0.0
concept_BC电池_x_ret,0.0
concept_BC电池,0.0
concept_AI语料_x_ret,0.0
concept_AI语料_pct,0.0
concept_AI语料,0.0
concept_AI芯片_x_ret,0.0
concept_AI芯片,0.0
concept_AI眼镜_x_ret,0.0
concept_AI眼镜,0.0
concept_AI智能体_x_ret,0.0
concept_AI智能体_pct,0.0
concept_AI智能体,0.0
concept_AI手机_x_ret,0.0
concept_AI手机_pct,0.0
concept_AI手机,0.0
industry_电网设备_x_ret,0.0
industry_电网设备_pct,0.0
industry_电网设备,0.0
industry_电源设备_x_ret,0.0
industry_电源设备,0.0
industry_电池_x_ret,0.0
industry_电池_pct,0.0
industry_电池,0.0
industry_电机_x_ret,0.0
industry_电机_pct,0.0
industry_电机,0.0
industry_电子化学品_x_ret,0.0
concept_CAR-T细胞疗法,0.0
concept_C2M概念_x_ret,0.0
concept_C2M概念,0.0
concept_DRG/DIP_x_ret,0.0
concept_DRG/DIP_pct,0.0
concept_DRG/DIP,0.0
concept_Chiplet概念_x_ret,0.0
concept_Chiplet概念_pct,0.0
concept_Chiplet概念,0.0
concept_ChatGPT概念_x_ret,0.0
concept_ChatGPT概念,0.0
concept_CRO_x_ret,0.0
concept_CRO_pct,0.0
concept_CRO,0.0
concept_CPO概念_x_ret,0.0
concept_CPO概念,0.0
concept_CAR-T细胞疗法_x_ret,0.0
industry_石油行业,0.0
concept_GDR,0.0
concept_F5G概念_x_ret,0.0
concept_F5G概念,0.0
concept_ETC_x_ret,0.0
concept_ETC,0.0
concept_ERP概念_x_ret,0.0
concept_ERP概念,0.0
concept_EDR概念_x_ret,0.0
concept_EDR概念,0.0
concept_EDA概念_x_ret,0.0
concept_EDA概念,0.0
concept_DeepSeek概念_x_ret,0.0
concept_Kimi概念,0.0
concept_IPv6_x_ret,0.0
concept_IPv6,0.0
concept_IPO受益_x_ret,0.0
concept_IPO受益_pct,0.0
concept_IPO受益,0.0
concept_IGBT概念_x_ret,0.0
concept_IGBT概念,0.0
concept_HIT电池_x_ret,0.0
concept_HIT电池,0.0
concept_GDR_x_ret,0.0
concept_MicroLED_x_ret,0.0
concept_MicroLED_pct,0.0
concept_MicroLED,0.0
concept_MSCI中国_pct,0.0
concept_MLOps概念_x_ret,0.0
concept_MLOps概念,0.0
concept_MLCC_x_ret,0.0
concept_MLCC,0.0
concept_LED_x_ret,0.0
concept_LED_pct,0.0
concept_LED,0.0
concept_Kimi概念_x_ret,0.0
concept_PLC概念_x_ret,0.0
concept_PLC概念,0.0
concept_PEEK材料概念_x_ret,0.0
concept_PEEK材料概念,0.0
concept_PCB_x_ret,0.0
concept_PCB,0.0
concept_OLED_x_ret,0.0
concept_OLED,0.0
concept_NFT概念_x_ret,0.0
concept_NFT概念_pct,0.0
concept_NFT概念,0.0
concept_MiniLED_x_ret,0.0
concept_MiniLED,0.0
concept_SPD概念_x_ret,0.0
concept_SPD概念_pct,0.0
concept_SPD概念,0.0
concept_REITs概念_x_ret,0.0
concept_REITs概念_pct,0.0
concept_REITs概念,0.0
concept_QFII重仓_x_ret,0.0
concept_QFII重仓_pct,0.0
concept_QFII重仓,0.0
concept_PVDF概念_x_ret,0.0
concept_PVDF概念,0.0
concept_PPP模式_x_ret,0.0
concept_PPP模式,0.0
industry_电子元件,0.0
industry_电力行业_x_ret,0.0
industry_生物制品_x_ret,0.0
industry_生物制品,0.0
industry_珠宝首饰_x_ret,0.0
industry_珠宝首饰,0.0
industry_玻璃玻纤_x_ret,0.0
industry_玻璃玻纤,0.0
concept_TOPCon电池_x_ret,0.0
concept_TOPCon电池_pct,0.0
concept_TOPCon电池,0.0
concept_Sora概念_x_ret,0.0
concept_Sora概念,0.0
concept_上海自贸_x_ret,0.0
concept_上海自贸,0.0
concept_一带一路,0.0
concept_WiFi_x_ret,0.0
concept_WiFi,0.0
concept_Web3.0_x_ret,0.0
concept_Web3.0,0.0
concept_VPN_x_ret,0.0
concept_VPN,0.0
concept_UWB概念_x_ret,0.0
concept_UWB概念,0.0
industry_电子化学品,0.0
industry_电子元件_x_ret,0.0
concept_东数西算,0.0
concept_东北振兴_x_ret,0.0
concept_东北振兴_pct,0.0
concept_东北振兴,0.0
concept_专精特新_pct,0.0
concept_上证50__x_ret,0.0
concept_上证50_,0.0
concept_上证380_pct,0.0
concept_上证380,0.0
concept_中证500,0.0
concept_中药概念_pct,0.0
concept_中芯概念_x_ret,0.0
concept_中芯概念,0.0
concept_中特估_x_ret,0.0
concept_中特估,0.0
concept_中字头,0.0
concept_中俄贸易概念_x_ret,0.0
concept_中俄贸易概念,0.0
concept_东数西算_x_ret,0.0
concept_互联医疗_x_ret,0.0
concept_互联医疗,0.0
concept_云计算_x_ret,0.0
concept_云计算_pct,0.0
concept_乳业_x_ret,0.0
concept_乳业,0.0
concept_乡村振兴_x_ret,0.0
concept_乡村振兴_pct,0.0
concept_乡村振兴,0.0
concept_举牌_x_ret,0.0
concept_举牌,0.0
concept_中证500_pct,0.0
concept_人造肉_x_ret,0.0
concept_人造肉,0.0
concept_人脑工程_x_ret,0.0
concept_人脑工程,0.0
concept_人形机器人_x_ret,0.0
concept_人形机器人_pct,0.0
concept_人形机器人,0.0
concept_人工智能_x_ret,0.0
concept_人工智能_pct,0.0
concept_京津冀_x_ret,0.0
concept_京津冀,0.0
concept_京东金融_x_ret,0.0
concept_京东金融,0.0
industry_环保行业_pct,0.0
industry_环保行业,0.0
industry_物流行业_x_ret,0.0
industry_物流行业,0.0
industry_燃气_x_ret,0.0
industry_燃气,0.0
industry_煤炭行业_x_ret,0.0
industry_煤炭行业,0.0
industry_游戏_x_ret,0.0
industry_游戏,0.0
industry_消费电子_x_ret,0.0
concept_传感器_x_ret,0.0
concept_传感器_pct,0.0
concept_传感器,0.0
concept_代糖概念_x_ret,0.0
concept_代糖概念,0.0
concept_供销社概念_x_ret,0.0
concept_供销社概念,0.0
concept_体育产业_x_ret,0.0
concept_体育产业,0.0
concept_体外诊断_x_ret,0.0
concept_体外诊断_pct,0.0
concept_体外诊断,0.0
concept_低空经济_x_ret,0.0
concept_低碳冶金_x_ret,0.0
concept_低碳冶金,0.0
industry_环保行业_x_ret,0.0
concept_光通信模块_x_ret,0.0
concept_光通信模块_pct,0.0
concept_光通信模块,0.0
concept_光刻机(胶)_x_ret,0.0
concept_光刻机(胶)_pct,0.0
concept_光刻机(胶),0.0
concept_充电桩_x_ret,0.0
concept_充电桩_pct,0.0
concept_充电桩,0.0
concept_元宇宙概念_x_ret,0.0
concept_元宇宙概念_pct,0.0
concept_元宇宙概念,0.0
concept_储能_pct,0.0
concept_储能,0.0
concept_养老金_x_ret,0.0
concept_养老金_pct,0.0
concept_养老金,0.0
concept_养老概念_x_ret,0.0
concept_养老概念_pct,0.0
concept_养老概念,0.0
concept_共享经济_x_ret,0.0
concept_共享经济,0.0
concept_全息技术_x_ret,0.0
concept_全息技术,0.0
concept_免税概念_x_ret,0.0
concept_免税概念,0.0
concept_免疫治疗_x_ret,0.0
concept_免疫治疗_pct,0.0
concept_免疫治疗,0.0
concept_冷链物流_x_ret,0.0
concept_冷链物流,0.0
concept_冰雪经济_x_ret,0.0
concept_冰雪经济,0.0
concept_农业种植_x_ret,0.0
concept_农业种植_pct,0.0
concept_农业种植,0.0
concept_军民融合_x_ret,0.0
concept_军民融合_pct,0.0
concept_内贸流通_x_ret,0.0
concept_内贸流通_pct,0.0
concept_内贸流通,0.0
concept_创投,0.0
concept_创业板综_pct,0.0
concept_创业成份_x_ret,0.0
concept_创业成份_pct,0.0
concept_创业成份,0.0
concept_刀片电池_x_ret,0.0
concept_刀片电池_pct,0.0
concept_刀片电池,0.0
concept_减速器_x_ret,0.0
concept_减速器,0.0
concept_减肥药_x_ret,0.0
concept_减肥药,0.0
concept_净水概念_x_ret,0.0
concept_净水概念,0.0
concept_化妆品概念_pct,0.0
concept_化妆品概念,0.0
concept_化债(AMC)概念_x_ret,0.0
concept_化债(AMC)概念,0.0
concept_动力电池回收_x_ret,0.0
concept_动力电池回收_pct,0.0
concept_动力电池回收,0.0
concept_券商概念_x_ret,0.0
concept_券商概念_pct,0.0
concept_创新药_pct,0.0
concept_创投_x_ret,0.0
concept_创投_pct,0.0
concept_医废处理_x_ret,0.0
concept_医废处理,0.0
concept_区块链_x_ret,0.0
concept_区块链_pct,0.0
concept_区块链,0.0
concept_北斗导航_x_ret,0.0
concept_北斗导航,0.0
concept_北交所概念_x_ret,0.0
concept_北交所概念_pct,0.0
concept_北交所概念,0.0
concept_化工原料_x_ret,0.0
concept_化工原料_pct,0.0
concept_化工原料,0.0
concept_化妆品概念_x_ret,0.0
concept_华为欧拉,0.0
concept_华为概念_pct,0.0
concept_华为昇腾_x_ret,0.0
concept_华为昇腾_pct,0.0
concept_华为昇腾,0.0
concept_半导体概念_x_ret,0.0
concept_半导体概念_pct,0.0
concept_医疗美容_x_ret,0.0
concept_医疗美容,0.0
concept_医疗器械概念_x_ret,0.0
concept_医疗器械概念,0.0
industry_消费电子,0.0
industry_汽车服务_x_ret,0.0
industry_汽车服务,0.0
industry_汽车整车_x_ret,0.0
industry_汽车整车,0.0
industry_水泥建材_x_ret,0.0
industry_水泥建材,0.0
industry_橡胶制品_x_ret,0.0
concept_华为汽车_x_ret,0.0
concept_华为汽车,0.0
concept_华为欧拉_x_ret,0.0
concept_参股新三板_pct,0.0
concept_参股新三板,0.0
concept_参股券商_x_ret,0.0
concept_参股券商_pct,0.0
concept_参股券商,0.0
concept_参股保险_x_ret,0.0
concept_参股保险,0.0
concept_卫星互联网_x_ret,0.0
concept_卫星互联网,0.0
concept_单抗概念_x_ret,0.0
concept_单抗概念_pct,0.0
concept_单抗概念,0.0
concept_华为海思_x_ret,0.0
concept_华为海思,0.0
concept_合成生物,0.0
concept_可燃冰_x_ret,0.0
concept_可燃冰,0.0
concept_可控核聚变_x_ret,0.0
concept_可控核聚变,0.0
concept_发电机概念_x_ret,0.0
concept_发电机概念,0.0
concept_参股银行_x_ret,0.0
concept_参股银行,0.0
concept_参股期货_x_ret,0.0
concept_参股期货_pct,0.0
concept_参股期货,0.0
concept_参股新三板_x_ret,0.0
