交易日期,代码,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,前收盘价,开盘涨跌幅
2005-01-04,zs000852,996.28,989.98,996.28,982.99,494737.0,259589539.0,0.0,0.0,0.0,0.01,,
2005-01-05,zs000852,989.87,1013.58,1018.26,988.57,822661.0,441803030.0,3.0,2.38,23.6,0.01,989.98,-0.01
2005-01-06,zs000852,1014.97,1005.47,1014.97,1001.21,732454.0,386428399.0,1.36,-0.8,-8.11,0.01,1013.58,0.14
2005-01-07,zs000852,1005.52,1011.74,1021.71,1001.1,758240.0,443201562.0,2.05,0.62,6.27,0.01,1005.47,0.0
2005-01-10,zs000852,1011.93,1023.64,1023.64,1007.8,596927.0,334380575.0,1.57,1.18,11.9,0.01,1011.74,0.02
2005-01-11,zs000852,1024.04,1027.16,1027.16,1017.79,782625.0,422969885.0,0.92,0.34,3.52,0.01,1023.64,0.04
2005-01-12,zs000852,1026.74,1024.92,1026.74,1014.77,762477.0,414983403.0,1.17,-0.22,-2.24,0.01,1027.16,-0.04
2005-01-13,zs000852,1024.13,1029.3,1030.49,1020.67,1021112.0,596290832.0,0.96,0.43,4.38,0.01,1024.92,-0.08
2005-01-14,zs000852,1028.99,1011.88,1034.59,1011.44,864133.0,489983019.0,2.25,-1.69,-17.42,0.01,1029.3,-0.03
2005-01-17,zs000852,1002.33,986.66,1002.33,984.38,921192.0,523647613.0,1.77,-2.49,-25.22,0.01,1011.88,-0.94
2005-01-18,zs000852,985.67,1008.11,1008.48,985.67,990504.0,501013308.0,2.31,2.17,21.45,0.01,986.66,-0.1
2005-01-19,zs000852,1007.11,1002.46,1008.22,997.62,1162300.0,579483565.0,1.05,-0.56,-5.65,0.01,1008.11,-0.1
2005-01-20,zs000852,999.93,989.44,999.93,982.42,1108445.0,574109085.0,1.75,-1.3,-13.02,0.01,1002.46,-0.25
2005-01-21,zs000852,987.43,1006.25,1007.92,966.08,1660074.0,854971965.0,4.23,1.7,16.81,0.02,989.44,-0.2
2005-01-24,zs000852,1028.01,1028.01,1029.0,1016.09,1778422.0,956858403.0,1.28,2.16,21.76,0.02,1006.25,2.16
2005-01-25,zs000852,1023.1,1015.1,1023.1,1005.49,1290204.0,684957954.0,1.71,-1.26,-12.91,0.01,1028.01,-0.48
2005-01-26,zs000852,1014.25,1006.84,1015.13,1004.61,1205919.0,644322041.0,1.04,-0.81,-8.26,0.01,1015.1,-0.08
2005-01-27,zs000852,1005.89,989.41,1005.89,988.12,1151757.0,587830237.0,1.76,-1.73,-17.43,0.01,1006.84,-0.09
2005-01-28,zs000852,989.41,963.01,989.41,960.24,1073928.0,533650469.0,2.95,-2.67,-26.4,0.01,989.41,0.0
2005-01-31,zs000852,954.94,924.17,954.94,923.13,1143886.0,568290192.0,3.3,-4.03,-38.84,0.01,963.01,-0.84
2005-02-01,zs000852,917.3,905.8,929.22,905.21,1107525.0,553877868.0,2.6,-1.99,-18.37,0.01,924.17,-0.74
2005-02-02,zs000852,904.13,958.39,959.99,904.13,1528858.0,785164718.0,6.17,5.81,52.59,0.02,905.8,-0.18
2005-02-03,zs000852,956.73,936.86,962.26,936.51,1386026.0,693933906.0,2.69,-2.25,-21.53,0.01,958.39,-0.17
2005-02-04,zs000852,937.15,952.39,954.91,934.96,1277179.0,625729830.0,2.13,1.66,15.53,0.01,936.86,0.03
2005-02-16,zs000852,959.28,966.39,975.5,958.48,1251498.0,607772540.0,1.79,1.47,14.0,0.01,952.39,0.72
2005-02-17,zs000852,966.04,973.81,973.81,957.8,1127479.0,532734950.0,1.66,0.77,7.42,0.01,966.39,-0.04
