股票代码,名称,上市日期,上市状态,终止/暂停上市日期
sh600096,云天化,1997-07-09,正常交易,
sh600097,开创国际,1997-06-19,正常交易,
sh600098,广州发展,1997-07-18,正常交易,
sh600099,林海股份,1997-07-04,正常交易,
sh600100,同方股份,1997-06-27,正常交易,
sh600101,明星电力,1997-06-27,正常交易,
sh600103,青山纸业,1997-07-03,正常交易,
sh600104,上汽集团,1997-11-25,正常交易,
sh600105,永鼎股份,1997-09-29,正常交易,
sh600106,重庆路桥,1997-06-18,正常交易,
sh600107,ST尔雅,1997-11-06,正常交易,
sh600108,亚盛集团,1997-08-18,正常交易,
sh600109,国金证券,1997-08-07,正常交易,
sh600110,诺德股份,1997-10-07,正常交易,
sh600111,北方稀土,1997-09-24,正常交易,
sh600113,浙江东日,1997-10-21,正常交易,
sh600114,东睦股份,2004-05-11,正常交易,
sh600115,中国东航,1997-11-05,正常交易,
sh600116,三峡水利,1997-08-04,正常交易,
sh600117,西宁特钢,1997-10-15,正常交易,
sh600118,中国卫星,1997-09-08,正常交易,
sh600119,长江投资,1998-01-15,正常交易,
sh600120,浙江东方,1997-12-01,正常交易,
sh600121,郑州煤电,1998-01-07,正常交易,
sh600123,兰花科创,1998-12-17,正常交易,
sh600125,铁龙物流,1998-05-11,正常交易,
sh600126,杭钢股份,1998-03-11,正常交易,
sh600127,金健米业,1998-05-06,正常交易,
sh600128,苏豪弘业,1997-09-01,正常交易,
sh600129,太极集团,1997-11-18,正常交易,
sh600130,*ST波导,2000-07-06,正常交易,
sh600131,国网信通,1998-04-02,正常交易,
sh600132,重庆啤酒,1997-10-30,正常交易,
sh600133,东湖高新,1998-02-12,正常交易,
sh600135,乐凯胶片,1998-01-22,正常交易,
sh600136,ST明诚,1998-03-03,正常交易,
sh600137,浪莎股份,1998-04-16,正常交易,
sh600138,中青旅,1997-12-03,正常交易,
sh600141,兴发集团,1999-06-16,正常交易,
sh600143,金发科技,2004-06-23,正常交易,
sh600148,长春一东,1998-05-20,正常交易,
sh600149,廊坊发展,1999-10-14,正常交易,
sh600150,中国船舶,1998-05-20,正常交易,
sh600151,航天机电,1998-06-05,正常交易,
sh600152,维科技术,1998-06-09,正常交易,
sh600153,建发股份,1998-06-16,正常交易,
sh600155,华创云信,1998-09-18,正常交易,
sh600156,华升股份,1998-05-27,正常交易,
sh600157,永泰能源,1998-05-13,正常交易,
