股票代码,名称,上市日期,上市状态,终止/暂停上市日期
sh688001,华兴源创,2019-07-22,正常交易,
sh688002,睿创微纳,2019-07-22,正常交易,
sh688003,天准科技,2019-07-22,正常交易,
sh688004,博汇科技,2020-06-12,正常交易,
sh688005,容百科技,2019-07-22,正常交易,
sh688006,杭可科技,2019-07-22,正常交易,
sh688007,光峰科技,2019-07-22,正常交易,
sh688008,澜起科技,2019-07-22,正常交易,
sh688009,中国通号,2019-07-22,正常交易,
sh688010,福光股份,2019-07-22,正常交易,
sh688011,新光光电,2019-07-22,正常交易,
sh688012,中微公司,2019-07-22,正常交易,
sh688013,天臣医疗,2020-09-28,正常交易,
sh688015,交控科技,2019-07-22,正常交易,
sh688016,心脉医疗,2019-07-22,正常交易,
sh688017,绿的谐波,2020-08-28,正常交易,
sh688018,乐鑫科技,2019-07-22,正常交易,
sh688019,安集科技,2019-07-22,正常交易,
sh688020,方邦股份,2019-07-22,正常交易,
sh688021,奥福科技,2019-11-06,正常交易,
sh688022,瀚川智能,2019-07-22,正常交易,
sh688023,安恒信息,2019-11-05,正常交易,
sh688025,杰普特,2019-10-31,正常交易,
sh688026,洁特生物,2020-01-22,正常交易,
sh688027,国盾量子,2020-07-09,正常交易,
sh688028,沃尔德,2019-07-22,正常交易,
sh688029,南微医学,2019-07-22,正常交易,
sh688030,山石网科,2019-09-30,正常交易,
sh688031,星环科技,2022-10-18,正常交易,
sh688032,禾迈股份,2021-12-20,正常交易,
sh688033,天宜新材,2019-07-22,正常交易,
sh688035,德邦科技,2022-09-19,正常交易,
sh688036,传音控股,2019-09-30,正常交易,
sh688037,芯源微,2019-12-16,正常交易,
sh688038,中科通达,2021-07-13,正常交易,
sh688039,当虹科技,2019-12-11,正常交易,
sh688041,海光信息,2022-08-12,正常交易,
sh688045,必易微,2022-05-26,正常交易,
sh688046,药康生物,2022-04-25,正常交易,
sh688047,龙芯中科,2022-06-24,正常交易,
sh688048,长光华芯,2022-04-01,正常交易,
sh688049,炬芯科技,2021-11-29,正常交易,
sh688050,爱博医疗,2020-07-29,正常交易,
sh688051,佳华科技,2020-03-20,正常交易,
sh688052,纳芯微,2022-04-22,正常交易,
sh688053,思科瑞,2022-07-08,正常交易,
sh688055,龙腾光电,2020-08-17,正常交易,
sh688056,莱伯泰科,2020-09-02,正常交易,
sh688057,金达莱,2020-11-11,正常交易,
sh688058,宝兰德,2019-11-01,正常交易,
sh688059,华锐精密,2021-02-08,正常交易,
sh688060,云涌科技,2020-07-10,正常交易,
sh688061,灿瑞科技,2022-10-18,正常交易,
sh688062,迈威生物,2022-01-18,正常交易,
sh688063,派能科技,2020-12-30,正常交易,
sh688065,凯赛生物,2020-08-12,正常交易,
sh688066,航天宏图,2019-07-22,正常交易,
sh688067,爱威科技,2021-06-16,正常交易,
sh688068,热景生物,2019-09-30,正常交易,
sh688069,德林海,2020-07-22,正常交易,
sh688070,纵横股份,2021-02-10,正常交易,
sh688071,华依科技,2021-07-29,正常交易,
sh688072,拓荆科技,2022-04-20,正常交易,
sh688073,毕得医药,2022-10-11,正常交易,
sh688075,安旭生物,2021-11-18,正常交易,
sh688076,ST诺泰,2021-05-20,正常交易,
sh688077,大地熊,2020-07-22,正常交易,
sh688078,龙软科技,2019-12-30,正常交易,
sh688079,美迪凯,2021-03-02,正常交易,
sh688080,映翰通,2020-02-12,正常交易,
sh688081,兴图新科,2020-01-06,正常交易,
sh688082,盛美上海,2021-11-18,正常交易,
sh688083,中望软件,2021-03-11,正常交易,
sh688084,晶品特装,2022-12-08,正常交易,
sh688085,三友医疗,2020-04-09,正常交易,
sh688087,英科再生,2021-07-09,正常交易,
sh688088,虹软科技,2019-07-22,正常交易,
sh688089,嘉必优,2019-12-19,正常交易,
sh688090,瑞松科技,2020-02-17,正常交易,
sh688091,上海谊众,2021-09-09,正常交易,
sh688092,爱科科技,2021-03-19,正常交易,
sh688093,世华科技,2020-09-30,正常交易,
sh688095,福昕软件,2020-09-08,正常交易,
sh688096,京源环保,2020-04-09,正常交易,
sh688097,博众精工,2021-05-12,正常交易,
sh688098,申联生物,2019-10-28,正常交易,
sh688099,晶晨股份,2019-08-08,正常交易,
sh688100,威胜信息,2020-01-21,正常交易,
sh688101,三达膜,2019-11-15,正常交易,
sh688102,斯瑞新材,2022-03-16,正常交易,
sh688103,国力股份,2021-09-10,正常交易,
sh688105,诺唯赞,2021-11-15,正常交易,
sh688106,金宏气体,2020-06-16,正常交易,
sh688107,安路科技,2021-11-12,正常交易,
sh688108,赛诺医疗,2019-10-30,正常交易,
sh688109,品茗科技,2021-03-30,正常交易,
sh688110,东芯股份,2021-12-10,正常交易,
sh688111,金山办公,2019-11-18,正常交易,
sh688112,鼎阳科技,2021-12-01,正常交易,
sh688113,联测科技,2021-05-06,正常交易,
sh688114,华大智造,2022-09-09,正常交易,
sh688115,思林杰,2022-03-14,正常交易,
sh688116,天奈科技,2019-09-25,正常交易,
sh688117,圣诺生物,2021-06-03,正常交易,
sh688118,普元信息,2019-12-04,正常交易,
sh688119,中钢洛耐,2022-06-06,正常交易,
sh688120,华海清科,2022-06-08,正常交易,
sh688121,卓然股份,2021-09-06,正常交易,
sh688122,西部超导,2019-07-22,正常交易,
sh688123,聚辰股份,2019-12-23,正常交易,
sh688125,安达智能,2022-04-15,正常交易,
sh688126,沪硅产业,2020-04-20,正常交易,
sh688127,蓝特光学,2020-09-21,正常交易,
sh688128,中国电研,2019-11-05,正常交易,
sh688129,东来技术,2020-10-23,正常交易,
sh688130,晶华微,2022-07-29,正常交易,
sh688131,皓元医药,2021-06-08,正常交易,
sh688132,邦彦技术,2022-09-23,正常交易,
sh688133,泰坦科技,2020-10-30,正常交易,
sh688135,利扬芯片,2020-11-11,正常交易,
sh688136,科兴制药,2020-12-14,正常交易,
sh688137,近岸蛋白,2022-09-29,正常交易,
sh688138,清溢光电,2019-11-20,正常交易,
sh688139,海尔生物,2019-10-25,正常交易,
sh688141,杰华特,2022-12-23,正常交易,
sh688143,长盈通,2022-12-12,正常交易,
sh688146,中船特气,2023-04-21,正常交易,
sh688147,微导纳米,2022-12-23,正常交易,
sh688148,芳源股份,2021-08-06,正常交易,
sh688150,莱特光电,2022-03-18,正常交易,
sh688151,华强科技,2021-12-06,正常交易,
sh688152,麒麟信安,2022-10-28,正常交易,
sh688153,唯捷创芯,2022-04-12,正常交易,
sh688155,先惠技术,2020-08-11,正常交易,
sh688156,路德环境,2020-09-22,正常交易,
sh688157,松井股份,2020-06-09,正常交易,
sh688158,优刻得,2020-01-20,正常交易,
sh688159,有方科技,2020-01-23,正常交易,
sh688160,步科股份,2020-11-12,正常交易,
sh688161,威高骨科,2021-06-30,正常交易,
