feature_name,importance,feature_index,importance_rank,importance_percent,cumulative_percent
step_29_个股_振幅,139,413,1,2.6093,2.6093
step_29_个股_涨跌幅,127,410,2,2.3841,4.9934
step_29_个股_换手率,75,412,3,1.4079,6.4013
step_29_个股_成交额,73,411,4,1.3704,7.7717
step_28_个股_涨跌幅,68,394,5,1.2765,9.0482
step_29_个股_RSI,68,414,6,1.2765,10.3247
step_26_个股_涨跌幅,54,366,7,1.0137,11.3384
RSI_开盘价,53,424,8,0.9949,12.3333
step_28_个股_振幅,49,397,9,0.9198,13.2531
step_19_个股_涨跌幅,47,272,10,0.8823,14.1354
RSI_收盘价,47,425,11,0.8823,15.0177
step_25_个股_涨跌幅,45,351,12,0.8448,15.8625
step_16_个股_涨跌幅,44,233,13,0.826,16.6885
step_00_个股_最高价,44,0,14,0.826,17.5145
step_29_个股_最高价,42,408,15,0.7884,18.3029
step_27_个股_涨跌幅,39,380,16,0.7321,19.035
step_27_个股_振幅,38,383,17,0.7133,19.7483
step_23_个股_涨跌幅,38,322,18,0.7133,20.4616
step_22_个股_涨跌幅,37,309,19,0.6946,21.1562
step_24_个股_涨跌幅,37,337,20,0.6946,21.8508
step_09_个股_涨跌幅,37,132,21,0.6946,22.5454
step_17_个股_涨跌幅,36,246,22,0.6758,23.2212
step_14_个股_涨跌幅,35,205,23,0.657,23.8782
step_21_个股_涨跌幅,35,296,24,0.657,24.5352
step_23_情绪_sentiment_0,30,334,25,0.5632,25.0984
step_03_个股_振幅,30,50,26,0.5632,25.6616
step_04_个股_涨跌幅,29,63,27,0.5444,26.206
step_00_个股_流通市值,29,5,28,0.5444,26.7504
step_03_个股_涨跌幅,28,47,29,0.5256,27.276
step_06_个股_涨跌幅,28,91,30,0.5256,27.8016
step_11_个股_流通市值,28,167,31,0.5256,28.3272
step_29_行业_涨跌幅,27,419,32,0.5069,28.8341
step_15_个股_振幅,27,221,33,0.5069,29.341
step_19_情绪_sentiment_1,27,281,34,0.5069,29.8479
step_20_个股_振幅,27,285,35,0.5069,30.3548
step_25_情绪_sentiment_0,26,363,36,0.4881,30.8429
step_08_个股_涨跌幅,26,118,37,0.4881,31.331
step_01_个股_涨跌幅,26,18,38,0.4881,31.8191
step_12_个股_涨跌幅,25,178,39,0.4693,32.2884
step_00_个股_涨跌幅,25,1,40,0.4693,32.7577
step_28_个股_换手率,25,396,41,0.4693,33.227
step_05_个股_涨跌幅,25,78,42,0.4693,33.6963
step_16_个股_振幅,24,236,43,0.4505,34.1468
