股票代码,名称,上市日期,上市状态,终止/暂停上市日期
sh600053,九鼎投资,1997-04-18,正常交易,
sh600054,黄山旅游,1997-05-06,正常交易,
sh600055,万东医疗,1997-05-19,正常交易,
sh600056,中国医药,1997-05-15,正常交易,
sh600057,厦门象屿,1997-06-04,正常交易,
sh600058,五矿发展,1997-05-28,正常交易,
sh600059,古越龙山,1997-05-16,正常交易,
sh600060,海信视像,1997-04-22,正常交易,
sh600061,国投资本,1997-05-19,正常交易,
sh600062,华润双鹤,1997-05-22,正常交易,
sh600063,皖维高新,1997-05-28,正常交易,
sh600064,南京高科,1997-05-06,正常交易,
sh600065,*ST联 谊,1997-05-23,终止上市,2007-12-13
sh600066,宇通客车,1997-05-08,正常交易,
sh600067,冠城新材,1997-05-08,正常交易,
sh600068,葛洲坝,1997-05-26,终止上市,2021-09-13
sh600069,退市银鸽,1997-04-30,终止上市,2020-08-28
sh600070,*ST富润,1997-06-04,终止上市,2025-04-30
sh600071,凤凰光学,1997-05-28,正常交易,
sh600072,中船科技,1997-06-03,正常交易,
sh600073,光明肉业,1997-07-04,正常交易,
sh600074,退市保千,1997-06-23,终止上市,2020-06-03
sh600075,新疆天业,1997-06-17,正常交易,
sh600076,康欣新材,1997-05-26,正常交易,
sh600077,*ST宋都,1997-05-20,终止上市,2023-07-25
sh600078,澄星股份,1997-06-27,正常交易,
sh600079,人福医药,1997-06-06,正常交易,
sh600080,金花股份,1997-06-12,正常交易,
sh600081,东风科技,1997-07-03,正常交易,
sh600082,海泰发展,1997-06-20,正常交易,
sh600083,*ST博信,1997-06-06,终止上市,2025-03-05
sh600084,中信尼雅,1997-07-11,正常交易,
sh600085,同仁堂,1997-06-25,正常交易,
sh600086,退市金钰,1997-06-06,终止上市,2021-03-18
sh600087,退市长油,1997-06-12,终止上市,2014-06-05
sh600088,中视传媒,1997-06-16,正常交易,
sh600089,特变电工,1997-06-18,正常交易,
sh600090,退市济堂,1997-06-16,终止上市,2022-07-07
sh600091,退市明科,1997-07-04,终止上市,2022-06-21
sh600092,*ST精 密,1997-06-26,终止上市,2006-11-30
sh600093,退市易见,1997-06-26,终止上市,2022-06-23
sh600094,大名城,1997-07-03,正常交易,
sh600095,湘财股份,1997-07-08,正常交易,
sh600096,云天化,1997-07-09,正常交易,
sh600097,开创国际,1997-06-19,正常交易,
sh600098,广州发展,1997-07-18,正常交易,
sh600099,林海股份,1997-07-04,正常交易,
sh600100,同方股份,1997-06-27,正常交易,
sh600101,明星电力,1997-06-27,正常交易,
sh600102,莱钢股份,1997-08-28,终止上市,2012-02-28
sh600103,青山纸业,1997-07-03,正常交易,
sh600104,上汽集团,1997-11-25,正常交易,
sh600105,永鼎股份,1997-09-29,正常交易,
sh600106,重庆路桥,1997-06-18,正常交易,
sh600107,ST尔雅,1997-11-06,正常交易,
sh600108,亚盛集团,1997-08-18,正常交易,
sh600109,国金证券,1997-08-07,正常交易,
sh600110,诺德股份,1997-10-07,正常交易,
sh600111,北方稀土,1997-09-24,正常交易,
sh600112,*ST天成,1997-11-27,终止上市,2024-08-15
sh600113,浙江东日,1997-10-21,正常交易,
sh600114,东睦股份,2004-05-11,正常交易,
sh600115,中国东航,1997-11-05,正常交易,
sh600116,三峡水利,1997-08-04,正常交易,
sh600117,西宁特钢,1997-10-15,正常交易,
sh600118,中国卫星,1997-09-08,正常交易,
sh600119,长江投资,1998-01-15,正常交易,
sh600120,浙江东方,1997-12-01,正常交易,
sh600121,郑州煤电,1998-01-07,正常交易,
sh600122,*ST宏图,1998-04-20,终止上市,2023-06-26
sh600123,兰花科创,1998-12-17,正常交易,
sh600125,铁龙物流,1998-05-11,正常交易,
sh600126,杭钢股份,1998-03-11,正常交易,
sh600127,金健米业,1998-05-06,正常交易,
sh600128,苏豪弘业,1997-09-01,正常交易,
sh600129,太极集团,1997-11-18,正常交易,
sh600130,*ST波导,2000-07-06,正常交易,
sh600131,国网信通,1998-04-02,正常交易,
sh600132,重庆啤酒,1997-10-30,正常交易,
sh600133,东湖高新,1998-02-12,正常交易,
sh600135,乐凯胶片,1998-01-22,正常交易,
sh600136,ST明诚,1998-03-03,正常交易,
sh600137,浪莎股份,1998-04-16,正常交易,
sh600138,中青旅,1997-12-03,正常交易,
sh600139,*ST西源,1998-02-25,终止上市,2023-03-27
sh600141,兴发集团,1999-06-16,正常交易,
sh600143,金发科技,2004-06-23,正常交易,
sh600145,退市新亿,1999-09-23,终止上市,2022-04-28
sh600146,退市环球,1999-07-07,终止上市,2022-06-30
sh600148,长春一东,1998-05-20,正常交易,
sh600149,廊坊发展,1999-10-14,正常交易,
sh600150,中国船舶,1998-05-20,正常交易,
sh600151,航天机电,1998-06-05,正常交易,
sh600152,维科技术,1998-06-09,正常交易,
sh600153,建发股份,1998-06-16,正常交易,
sh600155,华创云信,1998-09-18,正常交易,
sh600156,华升股份,1998-05-27,正常交易,
sh600157,永泰能源,1998-05-13,正常交易,
sh600158,中体产业,1998-03-27,正常交易,
sh600159,大龙地产,1998-05-26,正常交易,
sh600160,巨化股份,1998-06-26,正常交易,
sh600161,天坛生物,1998-06-16,正常交易,
sh600162,香江控股,1998-06-09,正常交易,
sh600163,中闽能源,1998-06-02,正常交易,
sh600165,ST宁科,1998-05-29,正常交易,
sh600166,福田汽车,1998-06-02,正常交易,
sh600167,联美控股,1999-01-28,正常交易,
sh600168,武汉控股,1998-04-27,正常交易,
sh600169,太原重工,1998-09-04,正常交易,
sh600170,上海建工,1998-06-23,正常交易,
sh600171,上海贝岭,1998-09-24,正常交易,
sh600172,黄河旋风,1998-11-26,正常交易,
sh600173,卧龙新能,1999-04-15,正常交易,
sh600175,退市美都,1999-04-08,终止上市,2020-08-17
sh600176,中国巨石,1999-04-22,正常交易,
sh600177,雅戈尔,1998-11-19,正常交易,
sh600178,东安动力,1998-10-14,正常交易,
sh600179,安通控股,1998-11-04,正常交易,
sh600180,瑞茂通,1998-07-03,正常交易,
sh600181,*ST云 大,1998-09-28,终止上市,2007-06-01
sh600182,S佳通,1999-05-07,正常交易,
sh600183,生益科技,1998-10-28,正常交易,
sh600184,光电股份,2003-11-06,正常交易,
sh600185,珠免集团,1999-06-11,正常交易,
sh600186,莲花控股,1998-08-25,正常交易,
sh600187,国中水务,1998-11-11,正常交易,
sh600188,兖矿能源,1998-07-01,正常交易,
sh600189,泉阳泉,1998-10-07,正常交易,
sh600190,退市锦港,1999-06-09,终止上市,2025-07-28
sh600191,华资实业,1998-12-10,正常交易,
sh600192,长城电工,1998-12-24,正常交易,
sh600193,*ST创兴,1999-05-27,正常交易,
sh600195,中牧股份,1999-01-07,正常交易,
sh600196,XD复星医,1998-08-07,正常交易,
sh600197,伊力特,1999-09-16,正常交易,
sh600198,大唐电信,1998-10-21,正常交易,
sh600199,金种子酒,1998-08-12,正常交易,
sh600200,*ST苏吴,1999-04-01,正常交易,
sh600201,生物股份,1999-01-15,正常交易,
sh600202,哈空调,1999-06-03,正常交易,
sh600203,福日电子,1999-05-14,正常交易,
sh600205,S山东铝,1999-06-30,终止上市,2007-04-30
sh600206,有研新材,1999-03-19,正常交易,
sh600207,安彩高科,1999-07-14,正常交易,
sh600208,衢州发展,1999-06-23,正常交易,
sh600209,退市罗顿,1999-03-25,终止上市,2022-06-22
sh600210,紫江企业,1999-08-24,正常交易,
sh600211,西藏药业,1999-07-21,正常交易,
sh600212,绿能慧充,1999-08-17,正常交易,
sh600213,*ST亚星,1999-08-31,终止上市,2024-10-17
sh600215,派斯林,1999-09-09,正常交易,
sh600216,浙江医药,1999-10-21,正常交易,
sh600217,中再资环,1999-12-16,正常交易,
sh600218,全柴动力,1998-12-03,正常交易,
sh600219,南山铝业,1999-12-23,正常交易,
sh600220,ST阳光,1999-09-27,终止上市,2024-07-10
sh600221,海航控股,1999-11-25,正常交易,
sh600222,太龙药业,1999-11-05,正常交易,
sh600223,福瑞达,2000-01-13,正常交易,
sh600225,退市卓朗,2000-01-27,终止上市,2025-03-06
sh600226,亨通股份,1999-11-16,正常交易,
sh600227,赤天化,2000-02-21,正常交易,
sh600228,*ST返利,1999-01-19,正常交易,
sh600229,城市传媒,2000-03-09,正常交易,
sh600230,沧州大化,2000-04-06,正常交易,
sh600231,凌钢股份,2000-05-11,正常交易,
sh600232,金鹰股份,2000-06-02,正常交易,
sh600233,圆通速递,2000-06-08,正常交易,
sh600234,科新发展,2000-06-15,正常交易,
sh600235,民丰特纸,2000-06-15,正常交易,
sh600236,桂冠电力,2000-03-23,正常交易,
sh600237,铜峰电子,2000-06-09,正常交易,
sh600238,*ST椰岛,2000-01-20,正常交易,
sh600239,云南城投,1999-12-02,正常交易,
sh600240,退市华业,2000-06-28,终止上市,2020-02-06
sh600241,时代万恒,2000-11-28,正常交易,
sh600242,退市中昌,2000-12-07,终止上市,2023-06-29
sh600243,*ST海华,2000-11-20,正常交易,
sh600246,万通发展,2000-09-22,正常交易,
sh600247,*ST成城,2000-11-23,终止上市,2021-03-22
sh600248,陕建股份,2000-06-22,正常交易,
sh600249,两面针,2004-01-30,正常交易,
sh600250,南京商旅,2001-03-06,正常交易,
sh600251,冠农股份,2003-06-09,正常交易,
sh600252,中恒集团,2000-11-30,正常交易,
sh600253,天方药业,2000-12-27,终止上市,2013-07-15
sh600255,鑫科材料,2000-11-22,正常交易,
sh600256,广汇能源,2000-05-26,正常交易,
sh600257,大湖股份,2000-06-12,正常交易,
sh600258,首旅酒店,2000-06-01,正常交易,
sh600259,广晟有色,2000-05-25,正常交易,
sh600260,*ST凯乐,2000-07-06,终止上市,2023-02-15
sh600261,阳光照明,2000-07-20,正常交易,
sh600262,北方股份,2000-06-30,正常交易,
sh600263,路桥建设,2000-07-25,终止上市,2012-03-01
sh600265,ST景谷,2000-08-25,正常交易,
sh600266,城建发展,1999-02-03,正常交易,
sh600267,海正药业,2000-07-25,正常交易,
sh600268,国电南自,1999-11-18,正常交易,
sh600269,赣粤高速,2000-05-18,正常交易,
sh600270,外运发展,2000-12-28,终止上市,2018-12-28
sh600271,航天信息,2003-07-11,正常交易,
sh600272,开开实业,2001-02-28,正常交易,
sh600273,嘉化能源,2003-06-27,正常交易,
sh600275,退市昌鱼,2000-08-10,终止上市,2022-06-22
sh600276,恒瑞医药,2000-10-18,正常交易,
sh600277,ST亿利,2000-07-25,终止上市,2024-07-18
sh600278,东方创业,2000-07-12,正常交易,
sh600279,重庆港,2000-07-31,正常交易,
sh600280,中央商场,2000-09-26,正常交易,
