stock_code,stock_name,industry,primary_concept,all_concepts,region
sh600081,东风科技,汽车零部件,长江三角,"长江三角,融资融券,央国企改革,沪股通,无人驾驶,氢能源,新能源车,传感器,汽车热管理,减速器",上海
sh600082,海泰发展,房地产开发,创投,"创投,滨海新区,参股新三板,央国企改革,京津冀,微盘股",天津
sh600084,中信尼雅,酿酒行业,参股期货,"参股期货,预盈预增,西部大开发,央国企改革,沪股通,乡村振兴,农业种植,2025中报扭亏",新疆
sh600085,同仁堂,中药,HS300_,"HS300_,机构重仓,融资融券,央视50_,上证180_,中药概念,独家药品,央国企改革,沪股通,证金持股,超级品牌,MSCI中国,富时罗素,标准普尔,流感",北京
sh600088,中视传媒,文化传媒,中字头,"中字头,预亏预减,长江三角,融资融券,央国企改革,旅游概念,沪股通,乡村振兴,影视概念,超清视频,广电,2025中报扭亏",上海
sh600089,特变电工,电网设备,煤化工,"煤化工,新能源,HS300_,黄金概念,预亏预减,智能电网,太阳能,西部大开发,风能,融资融券,上证180_,充电桩,沪股通,一带一路,雄安新区,MSCI中国,富时罗素,标准普尔,特高压,储能,超超临界发电",新疆
sh600094,大名城,房地产开发,AB股,"AB股,参股券商,机构重仓,预亏预减,长江三角,融资融券,土地流转,沪股通,富时罗素,标准普尔,破净股,算力概念,低空经济,2025中报预减",上海
sh600095,湘财股份,证券,创投,"创投,参股券商,参股银行,预盈预增,融资融券,互联金融,中证500,上证380,沪股通,券商概念,东北振兴,并购重组概念,2025中报预增",黑龙江
sh600096,云天化,化肥行业,煤化工,"煤化工,化工原料,新材料,机构重仓,锂电池,西部大开发,融资融券,央国企改革,氟化工,中证500,上证380,沪股通,一带一路,MSCI中国,碳交易,磷化工",云南
sh600097,开创国际,农牧饲渔,预盈预增,"预盈预增,长江三角,海洋经济,沪企改革,央国企改革,水产养殖,微盘股,2025中报扭亏",上海
sh600098,广州发展,电力行业,新能源,"新能源,节能环保,机构重仓,太阳能,风能,融资融券,央国企改革,充电桩,中证500,沪股通,可燃冰,天然气,破净股",广东
sh600099,林海股份,交运设备,QFII重仓,"QFII重仓,长江三角,央国企改革,无人驾驶,微盘股",江苏
sh600100,同方股份,计算机设备,军工,"军工,创投,参股券商,物联网,移动支付,预盈预增,LED,融资融券,智慧城市,大数据,在线教育,国家安防,央国企改革,沪股通,人工智能,军民融合,数字经济,机器人概念,信创,ChatGPT概念,算力概念,数据要素,AI语料",北京
sh600101,明星电力,电力行业,成渝特区,"成渝特区,西部大开发,融资融券,央国企改革,充电桩,沪股通,天然气,绿色电力,钒电池",四川
