stock_code,stock_name,industry,primary_concept,all_concepts,region
sh600198,大唐电信,通信设备,网络游戏,"网络游戏,物联网,移动支付,云计算,北斗导航,智能穿戴,央国企改革,沪股通,一带一路,5G概念,小米概念,国产芯片,IPv6,半导体概念,车联网(车路云),中芯概念,数据安全,并购重组概念",北京
sh600199,金种子酒,酿酒行业,预亏预减,"预亏预减,融资融券,央国企改革,沪股通,白酒",安徽
sh600200,*ST苏吴,化学制药,ST股,"ST股,参股银行,预亏预减,长江三角,病毒防治,IPO受益,医疗美容,流感,辅助生殖,低价股,重组蛋白,创新药,破净股",江苏
sh600201,生物股份,农药兽药,生物疫苗,"生物疫苗,预亏预减,西部大开发,融资融券,病毒防治,沪股通,人工智能,富时罗素,标准普尔,流感,宠物经济,合成生物,2025中报预减",内蒙古
sh600202,哈空调,电源设备,预亏预减,"预亏预减,核能核电,智能电网,央国企改革,一带一路,东北振兴,专精特新,中俄贸易概念,微盘股",黑龙江
sh600203,福日电子,消费电子,节能环保,"节能环保,参股券商,物联网,预盈预增,LED,央国企改革,无人机,沪股通,昨日涨停,昨日连板,小米概念,华为概念,超清视频,昨日涨停_含一字,昨日连板_含一字,机器人概念,裸眼3D,柔性屏(折叠屏),AI手机,荣耀概念,2025中报扭亏",福建
sh600206,有研新材,小金属,军工,"军工,新能源,新材料,预盈预增,稀土永磁,融资融券,3D打印,医疗器械概念,央国企改革,小金属概念,沪股通,5G概念,OLED,华为概念,富时罗素,标准普尔,国产芯片,传感器,半导体概念,尾气治理,中芯概念,2025中报预增",北京
sh600207,安彩高科,光伏设备,预亏预减,"预亏预减,太阳能,融资融券,央国企改革,沪股通,独角兽,富士康,天然气,建筑节能",河南
sh600208,衢州发展,房地产开发,创投,"创投,参股券商,参股期货,参股银行,黄金概念,预亏预减,融资融券,互联金融,央国企改革,中证500,上证380,沪股通,区块链,乡村振兴,独角兽,富时罗素,标准普尔,NFT概念,元宇宙概念,Web3.0,破净股,第四代半导体,2025中报预减",浙江
sh600210,紫江企业,包装材料,创投,"创投,锂电池,长江三角,融资融券,上证380,沪股通,大飞机,富时罗素,标准普尔,降解塑料,刀片电池,固态电池,毫米波概念,飞行汽车(eVTOL),低空经济",上海
sh600211,西藏药业,生物制品,生物疫苗,"生物疫苗,西部大开发,融资融券,中药概念,医疗器械概念,独家药品,上证380,沪股通,富时罗素",西藏
sh600212,绿能慧充,电力行业,充电桩,"融资融券,充电桩,无人机,沪股通,储能,机器人概念,高压快充,低空经济",山东
sh600215,派斯林,通用设备,预亏预减,"预亏预减,特斯拉,东北振兴,机器人概念",吉林
sh600216,浙江医药,化学制药,化工原料,"化工原料,机构重仓,预盈预增,融资融券,病毒防治,上证380,沪股通,富时罗素,单抗概念,青蒿素,标准普尔,维生素,辅助生殖,钠离子电池,储能,创新药,合成生物,2025中报预增",浙江
sh600217,中再资环,环保行业,节能环保,"节能环保,参股银行,预亏预减,西部大开发,融资融券,沪股通,垃圾分类,供销社概念",陕西
sh600218,全柴动力,汽车零部件,燃料电池,"融资融券,燃料电池,央国企改革,乡村振兴,氢能源,新能源车,工程机械概念,发电机概念,地下管网,中俄贸易概念,钒电池,减速器,新型工业化",安徽
sh600219,南山铝业,有色金属,HS300_,"HS300_,机构重仓,预盈预增,铁路基建,融资融券,参股保险,上证380,沪股通,证金持股,大飞机,MSCI中国,富时罗素,标准普尔,破净股",山东
sh600221,海航控股,航空机场,AB股,"AB股,机构重仓,预盈预增,融资融券,沪股通,MSCI中国,华为概念,富时罗素,低价股,海南自贸,2025中报扭亏",海南
sh600222,太龙药业,中药,参股银行,"参股银行,融资融券,中药概念,婴童概念,央国企改革,CRO,流感,创新药",河南
sh600223,福瑞达,生物制品,中药概念,"融资融券,中药概念,养老概念,医疗器械概念,央国企改革,上证380,沪股通,富时罗素,医疗美容,流感,化妆品概念,合成生物,DeepSeek概念",山东
sh600226,亨通股份,农药兽药,创投,"创投,网络游戏,化工原料,锂电池,长江三角,大数据,互联金融,沪股通,独角兽,PCB,消毒剂,数字阅读,低价股,合成生物",浙江
sh600227,赤天化,化肥行业,煤化工,"煤化工,化工原料,参股银行,西部大开发,医疗器械概念,阿兹海默,低价股",贵州
sh600228,*ST返利,互联网服务,ST股,"ST股,预亏预减,电商概念,人工智能,百度概念",江西
sh600229,城市传媒,文化传媒,预亏预减,"预亏预减,融资融券,在线教育,央国企改革,沪股通,虚拟现实,人工智能,增强现实,独角兽,知识产权,影视概念,网红经济,数字阅读,NFT概念,AIGC概念,数据要素,谷子经济,2025中报预减",山东
sh600230,沧州大化,化学制品,化工原料,"化工原料,新材料,预亏预减,融资融券,央国企改革,沪股通,标准普尔",河北
sh600231,凌钢股份,钢铁行业,参股银行,"参股银行,转债标的,机构重仓,预亏预减,融资融券,页岩气,央国企改革,沪股通,东北振兴,标准普尔,低价股",辽宁
sh600232,金鹰股份,纺织服装,预亏预减,"预亏预减,锂电池,长江三角,工业大麻,微盘股",浙江
sh600233,圆通速递,物流行业,HS300_,"HS300_,股权激励,融资融券,上证180_,阿里概念,沪股通,MSCI中国,富时罗素,标准普尔,快递概念",辽宁
sh600234,科新发展,房地产开发,网络游戏,"网络游戏,预盈预增,微盘股,2025中报扭亏",山西
