feature,importance
feature_652,60
feature_675,56
feature_606,54
feature_326,44
feature_674,40
feature_625,40
feature_648,39
feature_583,32
feature_671,32
feature_372,32
feature_673,31
feature_441,31
feature_142,30
feature_629,28
feature_556,28
feature_537,28
feature_418,27
feature_651,27
feature_579,26
feature_96,26
feature_514,26
feature_211,26
feature_280,25
feature_165,25
feature_602,25
feature_349,24
feature_445,23
feature_330,23
feature_422,22
feature_468,22
feature_73,22
feature_50,22
feature_188,22
feature_605,22
feature_650,22
feature_560,21
feature_146,21
feature_303,21
feature_284,21
feature_487,21
feature_234,21
feature_395,20
feature_215,20
feature_119,20
feature_77,20
feature_533,20
feature_68,19
feature_257,19
feature_31,19
feature_192,19
feature_399,19
feature_513,19
feature_510,18
feature_464,18
feature_353,18
feature_491,18
feature_238,17
feature_206,17
feature_54,17
feature_601,16
feature_123,16
feature_376,16
feature_628,16
feature_307,16
feature_169,16
feature_4,15
feature_98,15
feature_100,15
feature_398,14
feature_8,14
feature_191,14
feature_582,14
feature_624,13
feature_490,13
feature_99,13
feature_627,12
feature_144,12
feature_558,12
feature_145,12
feature_132,12
feature_91,12
feature_443,11
feature_329,11
feature_421,11
feature_159,11
feature_590,11
feature_604,11
feature_352,11
feature_375,10
feature_581,10
feature_122,10
feature_114,10
feature_27,10
feature_274,10
feature_458,10
feature_167,9
feature_213,9
feature_688,9
feature_467,9
feature_67,9
feature_444,9
feature_90,9
feature_481,8
feature_394,8
feature_412,8
feature_417,8
feature_555,8
feature_176,8
feature_30,8
feature_535,8
feature_559,7
feature_551,7
feature_536,7
feature_528,7
feature_527,7
feature_666,7
feature_489,7
feature_486,7
feature_237,7
feature_662,7
feature_187,7
feature_261,7
feature_682,7
feature_420,7
feature_371,7
feature_647,7
feature_0,7
feature_689,7
feature_75,7
feature_18,7
feature_44,7
feature_7,7
feature_6,7
feature_15,7
feature_14,7
feature_22,7
feature_283,6
feature_267,6
feature_60,6
feature_290,6
feature_292,6
feature_660,6
feature_305,6
feature_2,6
feature_38,6
feature_619,6
feature_233,6
feature_452,6
feature_466,6
feature_84,6
feature_76,6
feature_498,6
feature_72,6
feature_522,6
feature_52,6
feature_532,6
feature_544,6
feature_252,6
feature_366,6
feature_11,6
feature_199,6
feature_198,6
feature_550,5
feature_408,5
feature_574,5
feature_659,5
feature_325,5
feature_429,5
feature_9,5
feature_109,5
feature_175,5
feature_291,5
feature_406,5
feature_397,5
feature_168,5
feature_306,5
feature_141,5
feature_214,5
feature_360,5
feature_320,5
feature_136,5
feature_567,5
feature_279,5
feature_512,5
feature_260,5
feature_245,5
feature_259,5
feature_3,5
feature_665,5
feature_63,5
feature_49,5
feature_669,5
feature_668,5
feature_248,5
feature_541,5
feature_160,5
feature_130,4
feature_61,4
feature_505,4
feature_210,4
feature_620,4
feature_26,4
feature_344,4
feature_636,4
feature_336,4
feature_543,4
feature_547,4
feature_129,4
feature_121,4
feature_385,4
feature_389,4
feature_613,4
feature_405,4
feature_530,4
feature_118,4
feature_113,4
feature_65,4
feature_520,4
feature_597,4
feature_683,4
feature_596,4
feature_589,4
feature_681,4
feature_573,4
feature_642,4
feature_228,4
feature_225,4
feature_223,4
feature_658,4
feature_321,4
feature_236,4
feature_298,4
feature_10,4
feature_670,4
feature_249,4
feature_302,4
feature_85,3
feature_200,3
feature_138,3
feature_153,3
feature_475,3
feature_578,3
feature_474,3
feature_453,3
feature_45,3
feature_463,3
feature_83,3
feature_275,3
feature_95,3
feature_183,3
feature_591,3
feature_435,3
feature_282,3
feature_41,3
feature_480,3
feature_222,3
feature_270,3
feature_521,3
feature_164,3
feature_162,3
feature_539,3
feature_62,3
feature_55,3
feature_53,3
feature_524,3
feature_523,3
feature_251,3
feature_268,3
feature_519,3
feature_515,3
feature_684,3
feature_256,3
feature_509,3
feature_561,3
feature_566,3
feature_407,3
feature_413,3
feature_440,3
feature_314,3
feature_382,3
feature_293,3
feature_367,3
feature_614,3
feature_402,3
feature_676,3
feature_646,3
feature_645,3
feature_24,3
feature_331,3
feature_313,3
feature_170,3
feature_497,2
feature_362,2
feature_32,2
feature_502,2
feature_34,2
feature_78,2
feature_492,2
feature_79,2
feature_273,2
feature_485,2
feature_482,2
feature_133,2
feature_218,2
feature_504,2
feature_219,2
feature_361,2
feature_316,2
feature_182,2
feature_332,2
feature_638,2
feature_239,2
feature_241,2
feature_338,2
feature_247,2
feature_630,2
feature_224,2
feature_685,2
feature_351,2
feature_135,2
feature_173,2
feature_70,2
feature_476,2
feature_359,2
feature_477,2
feature_374,2
feature_297,2
feature_152,2
feature_108,2
feature_328,2
feature_147,2
feature_295,2
feature_434,2
feature_594,2
feature_431,2
feature_277,2
feature_600,2
feature_106,2
feature_401,2
feature_423,2
feature_39,2
feature_285,2
feature_37,2
feature_286,2
feature_611,2
feature_607,2
feature_127,2
feature_392,2
feature_459,2
feature_46,2
feature_469,2
feature_229,2
feature_471,2
feature_388,2
feature_383,2
feature_381,2
feature_87,2
feature_454,2
feature_205,2
feature_653,1
feature_643,1
feature_35,1
feature_655,1
feature_622,1
feature_552,1
feature_43,1
feature_634,1
feature_623,1
feature_635,1
feature_687,1
feature_17,1
feature_598,1
feature_677,1
feature_570,1
feature_568,1
feature_21,1
feature_586,1
feature_19,1
feature_107,1
feature_548,1
feature_363,1
feature_137,1
feature_337,1
feature_339,1
feature_348,1
feature_354,1
feature_356,1
feature_370,1
feature_308,1
feature_131,1
feature_390,1
feature_124,1
feature_404,1
feature_112,1
feature_110,1
feature_317,1
feature_289,1
feature_426,1
feature_226,1
feature_181,1
feature_177,1
feature_203,1
feature_209,1
feature_216,1
feature_221,1
feature_244,1
feature_287,1
feature_246,1
feature_158,1
feature_155,1
feature_262,1
feature_264,1
feature_148,1
feature_425,1
feature_377,1
feature_428,1
feature_462,1
feature_499,1
feature_80,1
feature_451,1
feature_86,1
feature_495,1
feature_506,1
feature_526,1
feature_473,1
feature_457,1
feature_438,1
feature_432,1
feature_278,0
feature_493,0
feature_494,0
feature_656,0
feature_571,0
feature_654,0
feature_572,0
feature_569,0
feature_564,0
feature_255,0
feature_565,0
feature_562,0
feature_500,0
feature_220,0
feature_66,0
feature_202,0
feature_195,0
feature_194,0
feature_193,0
feature_64,0
feature_56,0
feature_190,0
feature_301,0
feature_81,0
feature_309,0
feature_621,0
feature_430,0
feature_111,0
feature_411,0
feature_410,0
feature_608,0
feature_593,0
feature_128,0
feature_615,0
feature_616,0
feature_618,0
feature_446,0
feature_553,0
feature_587,0
feature_20,0
feature_365,0
feature_585,0
feature_134,0
feature_631,0
feature_340,0
feature_47,0
feature_334,0
feature_479,0
feature_322,0
feature_318,0
feature_424,0
feature_310,0
feature_184,0
