feature_name,importance,feature_index,importance_rank,importance_percent,cumulative_percent
step_22_情绪_sentiment_1,58,490,1,2.7965,2.7965
step_20_情绪_sentiment_1,37,487,2,1.784,4.5805
step_22_情绪_sentiment_0,34,489,3,1.6393,6.2198
step_25_指数_沪深300,24,438,4,1.1572,7.377
step_11_情绪_sentiment_0,24,474,5,1.1572,8.5342
step_01_指数_深证成指,23,352,6,1.109,9.6432
step_06_个股_振幅,22,56,7,1.0608,10.704
step_29_指数_中证500,22,456,8,1.0608,11.7648
step_29_指数_上证指数,22,453,9,1.0608,12.8256
step_10_情绪_sentiment_1,21,473,10,1.0125,13.8381
step_04_行业_最高价,21,243,11,1.0125,14.8506
step_23_行业_最低价,20,323,12,0.9643,15.8149
step_02_指数_沪深300,19,355,13,0.9161,16.731
step_11_指数_深证成指,19,387,14,0.9161,17.6471
step_16_指数_上证指数,19,402,15,0.9161,18.5632
step_21_个股_收盘价,18,161,16,0.8679,19.4311
step_12_行业_成交量,18,276,17,0.8679,20.299
step_16_个股_流通市值,17,132,18,0.8197,21.1187
step_10_指数_创业板指,17,384,19,0.8197,21.9384
step_28_个股_开盘价,16,211,20,0.7715,22.7099
step_12_个股_成交量,16,97,21,0.7715,23.4814
step_20_指数_创业板指,16,421,22,0.7715,24.2529
step_15_指数_沪深300,15,399,23,0.7232,24.9761
step_28_行业_开盘价,15,341,24,0.7232,25.6993
step_09_个股_成交额,15,77,25,0.7232,26.4225
step_07_个股_换手率,15,62,26,0.7232,27.1457
step_10_行业_开盘价,15,266,27,0.7232,27.8689
step_24_行业_收盘价,15,326,28,0.7232,28.5921
step_19_行业_成交量,15,305,29,0.7232,29.3153
step_12_行业_开盘价,14,273,30,0.675,29.9903
step_09_情绪_sentiment_0,14,471,31,0.675,30.6653
step_21_个股_成交量.1,14,164,32,0.675,31.3403
step_24_指数_深证成指,14,435,33,0.675,32.0153
step_19_个股_最高价,14,147,34,0.675,32.6903
step_08_行业_收盘价,13,259,35,0.6268,33.3171
step_19_指数_中证500,13,418,36,0.6268,33.9439
step_11_指数_沪深300,13,386,37,0.6268,34.5707
step_12_行业_最低价,12,275,38,0.5786,35.1493
step_08_行业_涨跌幅,12,262,39,0.5786,35.7279
step_09_个股_收盘价,12,73,40,0.5786,36.3065
step_11_个股_流通市值,12,94,41,0.5786,36.8851
step_28_个股_涨跌幅,12,214,42,0.5786,37.4637
step_01_行业_收盘价,12,231,43,0.5786,38.0423
step_00_个股_涨跌幅,12,2,44,0.5786,38.6209
step_21_情绪_sentiment_1,12,488,45,0.5786,39.1995
step_14_个股_成交额,11,114,46,0.5304,39.7299
step_05_个股_涨跌幅,11,43,47,0.5304,40.2603
step_02_个股_换手率,11,22,48,0.5304,40.7907
step_23_个股_涨跌幅,11,179,49,0.5304,41.3211
step_27_行业_最高价,11,338,50,0.5304,41.8515
step_05_行业_开盘价,11,246,51,0.5304,42.3819
step_07_个股_成交量,11,59,52,0.5304,42.9123
step_25_指数_上证指数,10,437,53,0.4822,43.3945
step_29_指数_创业板指,10,455,54,0.4822,43.8767
step_20_行业_收盘价,10,307,55,0.4822,44.3589
step_06_指数_上证指数,10,366,56,0.4822,44.8411
step_20_个股_成交额,9,157,57,0.4339,45.275
step_23_个股_振幅,9,182,58,0.4339,45.7089
step_26_个股_收盘价,9,200,59,0.4339,46.1428
step_15_个股_流通市值,9,124,60,0.4339,46.5767
step_05_个股_开盘价,9,40,61,0.4339,47.0106
step_16_行业_最高价,9,292,62,0.4339,47.4445
step_06_指数_中证500,9,369,63,0.4339,47.8784
step_09_个股_开盘价,9,72,64,0.4339,48.3123
step_03_指数_创业板指,9,359,65,0.4339,48.7462
step_20_指数_深证成指,9,420,66,0.4339,49.1801
step_10_情绪_sentiment_0,9,472,67,0.4339,49.614
step_14_个股_最高价,9,111,68,0.4339,50.0479
step_07_个股_成交额,9,61,69,0.4339,50.4818
step_00_行业_最低价,9,228,70,0.4339,50.9157
step_20_行业_最高价,8,308,71,0.3857,51.3014
step_14_指数_上证指数,8,395,72,0.3857,51.6871
step_08_行业_成交量,8,261,73,0.3857,52.0728
step_03_个股_开盘价,8,24,74,0.3857,52.4585
step_16_行业_最低价,8,293,75,0.3857,52.8442
step_04_个股_流通市值,8,39,76,0.3857,53.2299
step_09_个股_流通市值,7,79,77,0.3375,53.5674
step_16_情绪_sentiment_0,7,480,78,0.3375,53.9049
step_10_个股_开盘价,7,80,79,0.3375,54.2424
step_26_情绪_sentiment_1,7,495,80,0.3375,54.5799
step_15_指数_中证500,7,401,81,0.3375,54.9174
step_14_个股_涨跌幅,7,112,82,0.3375,55.2549
step_15_指数_创业板指,7,400,83,0.3375,55.5924
step_00_行业_最高价,7,227,84,0.3375,55.9299
Momentum10D_收盘价,7,509,85,0.3375,56.2674
step_06_指数_深证成指,7,367,86,0.3375,56.6049
step_26_个股_振幅,6,203,87,0.2893,56.8942
step_16_个股_成交量.1,6,129,88,0.2893,57.1835
step_16_个股_振幅,6,131,89,0.2893,57.4728
step_00_个股_成交量,6,1,90,0.2893,57.7621
step_12_个股_收盘价,6,95,91,0.2893,58.0514
step_07_个股_最高价,6,58,92,0.2893,58.3407
step_20_指数_沪深300,6,419,93,0.2893,58.63
step_04_行业_涨跌幅,6,245,94,0.2893,58.9193
step_14_行业_涨跌幅,6,285,95,0.2893,59.2086
step_15_行业_涨跌幅,6,290,96,0.2893,59.4979
step_17_行业_最低价,6,296,97,0.2893,59.7872
step_17_行业_成交量,6,297,98,0.2893,60.0765
RSI_开盘价,6,504,99,0.2893,60.3658
step_22_个股_流通市值,6,175,100,0.2893,60.6551
MA10_开盘价,6,502,101,0.2893,60.9444
step_25_个股_最高价,6,194,102,0.2893,61.2337
step_02_个股_流通市值,6,23,103,0.2893,61.523
step_21_个股_涨跌幅,6,163,104,0.2893,61.8123
step_23_行业_涨跌幅,6,324,105,0.2893,62.1016
step_27_行业_成交量,6,339,106,0.2893,62.3909
step_08_情绪_sentiment_1,6,470,107,0.2893,62.6802
step_27_行业_涨跌幅,6,340,108,0.2893,62.9695
step_07_个股_成交量.1,6,60,109,0.2893,63.2588
step_18_个股_振幅,6,144,110,0.2893,63.5481
step_18_个股_换手率,6,143,111,0.2893,63.8374
step_29_行业_开盘价,6,344,112,0.2893,64.1267
step_18_行业_开盘价,5,299,113,0.2411,64.3678
step_19_个股_开盘价,5,145,114,0.2411,64.6089
step_00_指数_深证成指,5,348,115,0.2411,64.85
step_26_个股_开盘价,5,199,116,0.2411,65.0911
step_09_指数_创业板指,5,380,117,0.2411,65.3322
step_00_个股_开盘价,5,0,118,0.2411,65.5733
step_09_个股_成交量.1,5,76,119,0.2411,65.8144
step_11_个股_成交量,5,91,120,0.2411,66.0555
step_04_个股_收盘价,5,33,121,0.2411,66.2966
step_20_情绪_sentiment_0,5,486,122,0.2411,66.5377
step_06_个股_开盘价,5,48,123,0.2411,66.7788
step_29_情绪_sentiment_1,5,500,124,0.2411,67.0199
step_00_行业_涨跌幅,5,229,125,0.2411,67.261
step_28_指数_中证500,5,452,126,0.2411,67.5021
MA20_开盘价,5,503,127,0.2411,67.7432
step_24_指数_中证500,5,436,128,0.2411,67.9843
RSI_最高价,5,510,129,0.2411,68.2254
step_09_个股_振幅,5,78,130,0.2411,68.4665
step_15_情绪_sentiment_0,5,479,131,0.2411,68.7076
RSI_最低价,5,514,132,0.2411,68.9487
step_24_个股_振幅,5,190,133,0.2411,69.1898
step_11_指数_上证指数,5,385,134,0.2411,69.4309
step_12_指数_中证500,5,391,135,0.2411,69.672
step_13_指数_上证指数,5,392,136,0.2411,69.9131
step_13_个股_最高价,5,104,137,0.2411,70.1542
step_00_个股_换手率,5,4,138,0.2411,70.3953
step_00_个股_振幅,5,5,139,0.2411,70.6364
step_21_个股_开盘价,4,160,140,0.1929,70.8293
step_24_情绪_sentiment_0,4,492,141,0.1929,71.0222
step_11_行业_涨跌幅,4,272,142,0.1929,71.2151
step_17_情绪_sentiment_1,4,482,143,0.1929,71.408
step_23_个股_换手率,4,181,144,0.1929,71.6009
step_22_行业_最低价,4,317,145,0.1929,71.7938
step_23_个股_成交额,4,180,146,0.1929,71.9867
