概念代码,概念名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高价,最低价,开盘价,昨收价,总市值,流通市值,主力净流入,主力净流入占比,总股本,更新时间
BK0816,昨日连板,240.18,5.26,12.0,8949753.0,14811063297.0,1.02,240.35,238.03,239.7,228.18,201061071000.0,182552822000.0,-686585216.0,-4.64,555247616.0,1754532099
BK1051,昨日连板_含一字,77042.64,4.16,3074.58,9272317.0,15436586976.0,2.06,77954.41,76430.1,77874.3,73968.06,214585162000.0,194939637000.0,-768064592.0,-4.98,631909168.0,1754532099
BK0815,昨日涨停,4591.83,2.91,129.65,39361690.0,59008986460.0,1.53,4620.92,4552.75,4607.94,4462.18,989378960000.0,895464368000.0,-5146551296.0,-8.73,3394791424.0,1754532099
BK1050,昨日涨停_含一字,1699.71,2.7,44.61,39684255.0,59634510139.0,1.78,1715.34,1685.86,1711.35,1655.1,1002903056000.0,907851184000.0,-5228030976.0,-8.77,3471452928.0,1754532099
BK0841,体外诊断,1467.5,2.17,31.18,5629845.0,9112764643.0,2.51,1471.1,1435.01,1435.8,1436.32,979149840000.0,929132128000.0,464824576.0,5.11,-256757600.0,1754532099
BK0806,精准医疗,1190.13,2.11,24.54,7082044.0,8400495967.0,2.53,1191.28,1161.74,1162.3,1165.59,663734352000.0,556456160000.0,402772416.0,4.79,-168223632.0,1754532099
BK0693,基因测序,2168.04,1.97,41.82,7724926.0,8074321772.0,2.34,2172.06,2122.22,2122.65,2126.22,541398112000.0,464710848000.0,368558656.0,4.57,-239474128.0,1754532099
BK1054,DRG/DIP,1254.0,1.9,23.43,3827051.0,5129038526.0,2.73,1265.02,1231.37,1231.37,1230.57,190979033000.0,179449612000.0,47989168.0,0.94,-15967504.0,1754532099
BK1147,SPD概念,1111.4,1.9,20.69,1400575.0,2104919100.0,2.17,1116.41,1092.69,1092.86,1090.71,77804811000.0,66931650000.0,41087717.0,1.95,6539728.0,1754532099
BK1085,痘病毒防治,983.29,1.74,16.8,4919742.0,8516445573.0,2.17,986.7,965.72,965.83,966.49,731605584000.0,663023584000.0,63033136.0,0.74,30246192.0,1754532099
BK0865,电子烟,2081.25,1.46,30.04,6404759.0,15365303952.0,1.28,2086.22,2060.04,2060.04,2051.21,960161328000.0,904757984000.0,1050962304.0,6.85,-457750384.0,1754532099
BK0668,医疗器械概念,4316.87,1.38,58.72,27956761.0,41117565456.0,1.47,4322.51,4259.81,4259.81,4258.15,5120545024000.0,4463591936000.0,392031120.0,0.95,191159552.0,1754532099
BK0872,青蒿素,1788.97,1.36,23.98,628774.0,1259103850.0,1.73,1797.37,1766.76,1766.76,1764.99,294715920000.0,267123270000.0,97616474.0,7.77,-40948976.0,1754532099
BK0939,辅助生殖,1149.48,1.35,15.32,6645032.0,8129644081.0,2.05,1151.16,1127.94,1130.24,1134.16,592514240000.0,530718528000.0,84993520.0,1.05,-16711360.0,1754532099
BK1103,熔盐储能,1068.83,1.34,14.16,945368.0,1009402354.0,1.4,1069.2,1054.46,1057.19,1054.67,84225860000.0,79201559000.0,51719436.0,5.12,-28657440.0,1754532099
BK0957,拼多多概念,1480.43,1.34,19.55,1846672.0,2884985658.0,1.08,1480.57,1464.85,1464.85,1460.88,155952706000.0,138214067000.0,228878519.0,7.95,-126877552.0,1754532099
BK0893,无线耳机,2062.83,1.33,27.03,12862823.0,27965721654.0,1.01,2066.89,2046.31,2046.31,2035.8,2283219632000.0,2051440736000.0,1358908272.0,4.87,-541913088.0,1754532099
BK0954,盲盒经济,1317.52,1.23,16.07,1038242.0,1421742520.0,1.96,1321.3,1295.84,1299.62,1301.45,129302748000.0,98243420000.0,63269751.0,4.45,-22522448.0,1754532099
BK1137,存储芯片,1486.7,1.22,17.96,5586452.0,14758928707.0,1.41,1489.64,1468.95,1468.95,1468.74,1159395456000.0,959048512000.0,576395712.0,3.91,-207434128.0,1754532099
BK0666,苹果概念,3622.85,1.21,43.48,16209263.0,37236534344.0,0.98,3634.93,3599.72,3599.72,3579.37,3223449520000.0,2954356480000.0,1592733952.0,4.28,-599742208.0,1754532099
BK1170,AI制药（医疗）,1443.8,1.2,17.18,5680989.0,9268553861.0,1.9,1451.08,1423.92,1423.92,1426.62,575062432000.0,492481008000.0,-156654512.0,-1.69,211040128.0,1754532099
BK0951,刀片电池,2536.36,1.14,28.52,1162732.0,3516018875.0,1.24,2540.25,2509.07,2509.07,2507.84,1110810192000.0,495284592000.0,321628912.0,9.15,-143181264.0,1754532099
BK0902,MiniLED,1930.81,1.08,20.71,6687326.0,10160098141.0,1.11,1935.09,1913.81,1913.81,1910.1,1017512624000.0,908622320000.0,548424880.0,5.4,-292816704.0,1754532099
BK1023,培育钻石,1616.75,1.08,17.24,1409624.0,2940055539.0,1.47,1617.5,1594.0,1611.37,1599.51,183147004000.0,174343373000.0,-95009760.0,-3.23,96848768.0,1754532099
BK0986,CAR-T细胞疗法,1262.14,1.07,13.41,2353441.0,4253014581.0,2.05,1269.74,1244.15,1244.45,1248.73,570826288000.0,465338784000.0,-144354080.0,-3.4,133768480.0,1754532099
BK0837,互联医疗,1134.9,1.03,11.61,12906403.0,19074043543.0,1.21,1136.91,1123.31,1123.31,1123.29,4972298240000.0,2134644016000.0,-156973264.0,-0.82,240019200.0,1754532099
BK1078,肝炎概念,1501.35,1.02,15.18,5420223.0,8661980944.0,1.49,1505.15,1483.04,1483.04,1486.17,652909872000.0,575406656000.0,-172038208.0,-1.99,117317456.0,1754532099
