行业代码,行业名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高价,最低价,开盘价,昨收价,总市值,流通市值,主力净流入,主力净流入占比,总股本,更新时间
BK1041,医疗器械,1026.81,3.07,30.61,7599171.0,13928167928.0,3.31,1029.91,996.95,996.99,996.2,1458405520000.0,1264907056000.0,1071179152.0,7.7,-628406816.0,1754532096
BK0734,珠宝首饰,489.73,1.39,6.7,829500.0,1040663483.0,1.74,489.9,481.51,482.25,483.03,174938026000.0,149364492000.0,44103266.0,4.26,-59156768.0,1754532096
BK1037,消费电子,1751.03,1.26,21.75,14672670.0,33165022631.0,1.06,1754.27,1735.87,1735.87,1729.28,2452781584000.0,2143053312000.0,1352880128.0,4.08,-323925760.0,1754532096
BK1036,半导体,1618.72,1.19,19.11,7198220.0,31458690975.0,1.49,1623.56,1599.67,1599.84,1599.61,4956114944000.0,3575332656000.0,730102048.0,2.32,-313964544.0,1754532096
BK1035,美容护理,1044.4,1.11,11.49,782041.0,2069991103.0,1.63,1044.56,1027.7,1035.89,1032.91,312100672000.0,240828310000.0,48599011.0,2.35,-36116352.0,1754532096
BK0727,医疗服务,1294.5,1.06,13.54,4183191.0,7269622308.0,1.61,1300.4,1279.8,1281.58,1280.96,833333328000.0,704855936000.0,-59655648.0,-0.82,169723568.0,1754532096
BK1042,医药商业,1164.54,0.92,10.59,1403572.0,1936466333.0,1.3,1166.19,1151.22,1151.81,1153.95,347028352000.0,300369152000.0,5211108.0,0.27,4552768.0,1754532096
BK0440,家用轻工,49557.72,0.9,440.73,1465156.0,2328087099.0,0.99,49579.13,49091.54,49091.54,49116.99,325522208000.0,255435553000.0,56199703.0,2.42,-18252096.0,1754532096
BK0422,物流行业,7675.49,0.65,49.81,3268810.0,3333205287.0,0.82,7686.22,7624.06,7624.55,7625.68,969978416000.0,837078368000.0,117476336.0,3.53,-58325840.0,1754532096
BK0470,造纸印刷,10251.58,0.57,58.55,1845289.0,1740230720.0,0.44,10262.32,10217.48,10239.46,10193.03,254732110000.0,223049014000.0,-25405801.0,-1.46,22849856.0,1754532096
BK0473,证券,155869.22,0.53,820.28,10427416.0,10751326597.0,1.01,156693.89,155131.21,155181.46,155048.94,3656273440000.0,3004751808000.0,484683248.0,4.51,-300479536.0,1754532096
BK1038,光学光电子,1710.62,0.5,8.53,7584625.0,8590173488.0,0.61,1712.71,1702.25,1702.25,1702.09,1122751392000.0,985020368000.0,-79129760.0,-0.92,107321200.0,1754532096
BK0538,化学制品,28961.5,0.5,143.05,7977924.0,10952097173.0,0.39,28969.24,28855.57,28866.79,28818.45,1433271744000.0,1260345136000.0,-187885456.0,-1.72,286920880.0,1754532096
