概念代码,概念名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高价,最低价,开盘价,昨收价,总市值,流通市值,主力净流入,主力净流入占比,总股本,更新时间
BK0816,昨日连板,240.19,5.26,12.01,8939660.0,14791510097.0,1.02,240.35,238.03,239.7,228.18,201042573000.0,182525868000.0,-687459712.0,-4.65,555895920.0,1754532093
BK1051,昨日连板_含一字,77056.4,4.18,3088.34,9259580.0,15413600997.0,2.06,77954.41,76430.1,77874.3,73968.06,214582181000.0,194928201000.0,-767230640.0,-4.98,631057184.0,1754532093
BK0815,昨日涨停,4592.37,2.92,130.19,39330471.0,58952960221.0,1.53,4620.92,4552.75,4607.94,4462.18,989122560000.0,895178480000.0,-5145077248.0,-8.73,3393260544.0,1754532093
BK1050,昨日涨停_含一字,1699.98,2.71,44.88,39650391.0,59575051120.0,1.78,1715.34,1685.86,1711.35,1655.1,1002662160000.0,907580800000.0,-5224848384.0,-8.77,3468421888.0,1754532093
BK0841,体外诊断,1467.34,2.16,31.02,5618895.0,9093983688.0,2.51,1471.1,1435.01,1435.8,1436.32,979332688000.0,929317632000.0,465898464.0,5.12,-257546032.0,1754532093
BK0806,精准医疗,1189.94,2.09,24.35,7068029.0,8382420350.0,2.53,1191.28,1161.74,1162.3,1165.59,663772080000.0,556492384000.0,402602448.0,4.8,-169002816.0,1754532093
BK0693,基因测序,2168.17,1.97,41.95,7713554.0,8061432565.0,2.34,2172.06,2122.22,2122.65,2126.22,541449808000.0,464779904000.0,366841392.0,4.55,-239212656.0,1754532093
BK1147,SPD概念,1111.69,1.92,20.98,1399334.0,2103025092.0,2.17,1116.41,1092.69,1092.86,1090.71,77840889000.0,66965321000.0,41721330.0,1.98,6250320.0,1754532093
BK1054,DRG/DIP,1253.92,1.9,23.35,3823580.0,5124294497.0,2.73,1265.02,1231.37,1231.37,1230.57,190978086000.0,179447839000.0,48732928.0,0.95,-16253008.0,1754532093
BK1085,痘病毒防治,983.38,1.75,16.89,4912720.0,8503750003.0,2.17,986.7,965.72,965.83,966.49,731650880000.0,663059136000.0,65550400.0,0.77,29355264.0,1754532093
BK0865,电子烟,2082.46,1.52,31.25,6389407.0,15322585294.0,1.28,2086.22,2060.04,2060.04,2051.21,961043424000.0,905627632000.0,1054401488.0,6.88,-462005408.0,1754532093
BK0872,青蒿素,1789.47,1.39,24.48,627560.0,1256436224.0,1.73,1797.37,1766.76,1766.76,1764.99,294750928000.0,267156881000.0,98607990.0,7.85,-41291552.0,1754532093
BK0668,医疗器械概念,4317.15,1.39,59.0,27911731.0,41039406925.0,1.47,4322.51,4259.81,4259.81,4258.15,5121165568000.0,4464180480000.0,393491392.0,0.96,189399296.0,1754532093
BK0939,辅助生殖,1149.62,1.36,15.46,6637228.0,8118212075.0,2.05,1151.16,1127.94,1130.24,1134.16,592598048000.0,530805584000.0,84433216.0,1.04,-15676544.0,1754532093
BK0893,无线耳机,2063.53,1.36,27.73,12839939.0,27902168320.0,1.01,2066.89,2046.31,2046.31,2035.8,2284361824000.0,2052471936000.0,1364313728.0,4.89,-547958016.0,1754532093
BK0957,拼多多概念,1480.57,1.35,19.69,1844476.0,2876847460.0,1.08,1480.57,1464.85,1464.85,1460.88,155966734000.0,138226155000.0,227421727.0,7.91,-126608960.0,1754532093
BK1103,熔盐储能,1068.81,1.34,14.14,943568.0,1007425210.0,1.4,1069.2,1054.46,1057.19,1054.67,84220730000.0,79196370000.0,51076567.0,5.07,-28119680.0,1754532093
BK0954,盲盒经济,1317.93,1.27,16.48,1037721.0,1420788963.0,1.96,1321.3,1295.84,1299.62,1301.45,129328130000.0,98259038000.0,63096458.0,4.44,-22680880.0,1754532093
BK0666,苹果概念,3623.68,1.24,44.31,16175686.0,37155385385.0,0.98,3634.93,3599.72,3599.72,3579.37,3223953872000.0,2954809216000.0,1597508352.0,4.3,-604348160.0,1754532093
BK1137,存储芯片,1486.67,1.22,17.93,5572500.0,14728049669.0,1.41,1489.64,1468.95,1468.95,1468.74,1159128048000.0,958925440000.0,571088144.0,3.88,-205763760.0,1754532093
BK1170,AI制药（医疗）,1443.8,1.2,17.18,5673730.0,9257337907.0,1.9,1451.08,1423.92,1423.92,1426.62,575054448000.0,492473696000.0,-156209072.0,-1.69,210254272.0,1754532093
BK0951,刀片电池,2536.52,1.14,28.68,1154933.0,3500413903.0,1.24,2540.25,2509.07,2509.07,2507.84,1110891568000.0,495359504000.0,326601712.0,9.33,-145890432.0,1754532093
BK0902,MiniLED,1931.34,1.11,21.24,6675235.0,10143467010.0,1.11,1935.09,1913.81,1913.81,1910.1,1017097360000.0,908182048000.0,547855136.0,5.4,-293559328.0,1754532093
BK1023,培育钻石,1616.89,1.09,17.38,1407429.0,2935392261.0,1.47,1617.5,1594.0,1611.37,1599.51,183175701000.0,174371398000.0,-93905984.0,-3.2,96486400.0,1754532093
BK0986,CAR-T细胞疗法,1261.66,1.04,12.93,2348565.0,4244390701.0,2.05,1269.74,1244.15,1244.45,1248.73,570898464000.0,465406320000.0,-143355488.0,-3.38,132760720.0,1754532093
BK0837,互联医疗,1134.83,1.03,11.54,12889348.0,19044783189.0,1.21,1136.91,1123.31,1123.31,1123.29,4971978240000.0,2134550624000.0,-156544080.0,-0.82,239294208.0,1754532093
BK1177,荣耀概念,1821.53,1.01,18.22,6482513.0,12904412179.0,0.84,1825.72,1810.58,1810.58,1803.31,1059731296000.0,935673696000.0,166996880.0,1.29,61941216.0,1754532093
BK1078,肝炎概念,1500.97,1.0,14.8,5415409.0,8653199501.0,1.49,1505.15,1483.04,1483.04,1486.17,652849040000.0,575342992000.0,-170677584.0,-1.97,117659568.0,1754532093
BK0916,氮化镓,1445.85,0.99,14.23,4301903.0,9201125895.0,1.14,1447.88,1431.51,1431.57,1431.62,1010674128000.0,939075424000.0,18302608.0,0.2,89524608.0,1754532093
BK1178,AI眼镜,1881.62,0.99,18.42,9324226.0,18780028169.0,1.0,1884.25,1865.68,1865.68,1863.2,1544184144000.0,1328750224000.0,558770640.0,2.98,-197223168.0,1754532093
BK0993,宠物经济,1011.81,0.98,9.85,3110050.0,5321927548.0,1.02,1012.45,1002.25,1002.35,1001.96,441848832000.0,366029184000.0,64994144.0,1.22,-7863792.0,1754532093
BK1162,AI手机,1637.28,0.98,15.91,5506718.0,10698298369.0,1.11,1642.92,1624.92,1624.92,1621.37,847358352000.0,759415760000.0,104623632.0,0.98,12693088.0,1754532093
BK0803,股权转让,752.21,0.97,7.21,3188094.0,2876507986.0,1.02,752.64,745.01,747.53,745.0,206775644000.0,191048688000.0,107833758.0,3.75,-82190528.0,1754532093
BK0880,UWB概念,1719.06,0.96,16.35,4205688.0,6944616740.0,0.89,1725.05,1709.9,1710.1,1702.71,368978992000.0,349806048000.0,-35264720.0,-0.51,101463296.0,1754532093
BK1138,液冷概念,1402.96,0.94,13.1,12510021.0,24128461502.0,1.03,1405.71,1391.34,1391.34,1389.86,1336082944000.0,1180811760000.0,-673855104.0,-2.79,700528384.0,1754532093
BK0675,病毒防治,2985.95,0.94,27.79,11001003.0,14545124986.0,1.42,2989.54,2947.47,2949.96,2958.16,1650469280000.0,1450123344000.0,82597824.0,0.57,41780464.0,1754532093
BK0850,进口博览,1064.83,0.94,9.88,1481126.0,1160115358.0,1.19,1065.66,1053.09,1053.25,1054.95,244646670000.0,215856713000.0,53757971.0,4.63,-4547120.0,1754532093
BK0901,3D摄像头,1648.43,0.93,15.13,2705162.0,7020833796.0,0.84,1654.53,1640.79,1641.13,1633.3,587857728000.0,570984496000.0,443558784.0,6.32,-147829616.0,1754532093
BK0889,医疗美容,1826.31,0.92,16.59,6506894.0,8033194449.0,1.21,1828.4,1806.43,1807.15,1809.72,1123527472000.0,995619904000.0,-45412528.0,-0.57,13398784.0,1754532093
BK0969,汽车芯片,1250.69,0.91,11.31,5136343.0,13503056146.0,0.97,1254.39,1242.31,1242.31,1239.38,1315478608000.0,1209382992000.0,39660192.0,0.29,40828800.0,1754532093
BK0842,富士康,2058.5,0.89,18.22,4113286.0,10583739537.0,0.97,2063.23,2043.52,2043.52,2040.28,648783408000.0,575822864000.0,316611184.0,2.99,-49286576.0,1754532093
BK0974,化妆品概念,1311.74,0.87,11.35,2468762.0,4918618399.0,0.99,1312.1,1299.24,1301.4,1300.39,739847744000.0,652450112000.0,-6612640.0,-0.13,24663280.0,1754532093
BK1125,电子后视镜,1664.11,0.86,14.23,1968633.0,2789320554.0,0.87,1666.45,1652.04,1652.04,1649.88,374624800000.0,336117152000.0,29035297.0,1.04,-39074592.0,1754532093
BK0641,智能穿戴,3379.87,0.86,28.8,17233313.0,31694258907.0,0.8,3385.75,3358.99,3358.99,3351.07,2770829712000.0,2479410320000.0,938220464.0,2.96,-238400000.0,1754532093
BK1160,柔性屏(折叠屏),1578.52,0.84,13.21,10738638.0,15835201595.0,0.77,1582.44,1570.38,1570.38,1565.31,1064698304000.0,953796464000.0,-27053744.0,-0.17,110463216.0,1754532093
BK0833,小米概念,2077.78,0.81,16.69,25955554.0,43698521318.0,0.8,2081.06,2064.56,2064.56,2061.09,3513733744000.0,3110799328000.0,249090304.0,0.57,345302528.0,1754532093
BK1056,幽门螺杆菌概念,1060.15,0.8,8.37,5154049.0,6382188452.0,1.35,1064.81,1050.61,1050.86,1051.78,534348400000.0,462615792000.0,-98626752.0,-1.55,87640800.0,1754532093
BK0965,社区团购,939.77,0.79,7.36,1987691.0,1829710679.0,0.88,939.85,931.61,931.61,932.41,563706224000.0,388871232000.0,138485686.0,7.57,-44492080.0,1754532093
BK1133,ERP概念,1443.4,0.76,10.9,1785195.0,4267237691.0,0.95,1452.86,1439.32,1439.57,1432.5,292481056000.0,245327353000.0,68356672.0,1.6,-18847904.0,1754532093
BK0698,免疫治疗,1718.05,0.75,12.82,2823278.0,4178633170.0,1.23,1720.66,1699.68,1699.75,1705.23,569916688000.0,509492288000.0,-91979744.0,-2.2,50378112.0,1754532093
BK0511,ST股,6601.23,0.75,49.05,9345458.0,5131946021.0,0.6,6601.54,6562.32,6563.5,6552.18,729787904000.0,646163200000.0,-79895984.0,-1.56,85248144.0,1754532093
BK0891,国产芯片,3558.6,0.74,26.22,36072394.0,75958114902.0,0.85,3564.85,3534.76,3534.76,3532.38,10220581632000.0,8187897344000.0,578898944.0,0.76,497903872.0,1754532093
BK0580,LED,3694.87,0.73,26.61,9090230.0,15486947073.0,0.6,3698.48,3676.35,3676.83,3668.26,1426054688000.0,1322202512000.0,716680480.0,4.63,-245288464.0,1754532093
BK1156,PEEK材料概念,1638.74,0.71,11.53,5597268.0,11378404388.0,2.09,1652.98,1618.98,1646.93,1627.21,447264272000.0,371408608000.0,-502994240.0,-4.42,403950448.0,1754532093
BK0928,抖音小店,1318.63,0.7,9.23,2869655.0,2148725764.0,0.73,1318.94,1309.39,1309.39,1309.4,248563332000.0,228201938000.0,82724465.0,3.85,3546560.0,1754532093
BK0960,无线充电,2820.98,0.69,19.28,5590031.0,12714734405.0,0.71,2824.2,2804.31,2804.31,2801.7,2074384752000.0,1368096736000.0,714654576.0,5.62,-307015088.0,1754532093
BK0881,3D玻璃,1301.69,0.69,8.89,3929302.0,4403449494.0,0.78,1307.72,1297.59,1297.59,1292.8,313542928000.0,291719472000.0,112116688.0,2.55,9748880.0,1754532093
BK1183,谷子经济,1193.37,0.69,8.13,7265120.0,9117676257.0,0.85,1193.37,1183.33,1185.59,1185.24,679093232000.0,615348704000.0,-24995456.0,-0.27,168947056.0,1754532093
BK0664,婴童概念,1778.97,0.69,12.11,9159346.0,11836791663.0,0.99,1779.55,1762.1,1762.56,1766.86,1321299728000.0,1200200080000.0,266765280.0,2.25,-8855344.0,1754532093
BK1175,玻璃基板,1556.97,0.68,10.44,2642883.0,4358706661.0,0.83,1559.44,1546.6,1546.6,1546.53,505860608000.0,456149760000.0,-101147216.0,-2.32,96944672.0,1754532093
BK0917,半导体概念,1855.45,0.67,12.32,25155085.0,60770147868.0,0.72,1857.9,1844.68,1844.68,1843.13,8409685504000.0,6328673792000.0,-295147008.0,-0.49,705331712.0,1754532093
