行业代码,行业名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高价,最低价,开盘价,昨收价,总市值,流通市值,主力净流入,主力净流入占比,总股本,更新时间
BK0465,化学制药,40484.73,0.2,82.26,11839278.0,19105113912.0,1.08,40656.72,40218.49,40246.2,40402.47,2276384944000.0,2053374048000.0,-662452448.0,-3.47,667388416.0,1754532099
BK0464,石油行业,5935.4,0.2,11.8,1283464.0,1019419736.0,0.48,5942.59,5913.94,5923.52,5923.6,3665021760000.0,2162352304000.0,-55800593.0,-5.47,40045041.0,1754532099
BK0438,食品饮料,29316.33,0.18,51.9,3519354.0,3915524124.0,0.51,29316.33,29166.41,29228.38,29264.43,1661377584000.0,1402606288000.0,-158674380.0,-4.05,162057776.0,1754532099
BK0735,计算机设备,1511.09,0.17,2.57,3328286.0,7368603372.0,0.38,1513.13,1507.4,1507.4,1508.52,976077408000.0,884002576000.0,-197525104.0,-2.68,252047392.0,1754532099
BK0732,贵金属,1520.23,0.15,2.35,1141370.0,1453110475.0,0.6,1520.47,1511.39,1518.54,1517.88,415352688000.0,362832976000.0,-40275014.0,-2.77,37564112.0,1754532099
BK0477,酿酒行业,50694.5,0.14,68.41,680932.0,3237875182.0,0.32,50724.0,50561.54,50630.86,50626.09,3390466768000.0,3268487296000.0,18782944.0,0.58,-558992.0,1754532099
BK0910,专用设备,3235.94,0.13,4.26,16905315.0,32286095935.0,0.47,3243.63,3228.5,3241.32,3231.68,1898060256000.0,1583799168000.0,-1745652944.0,-5.41,1472340480.0,1754532099
BK0546,玻璃玻纤,41855.49,0.13,52.85,1760261.0,1929890830.0,0.69,41987.78,41698.63,41698.63,41802.64,382197616000.0,319885024000.0,-49389930.0,-2.56,42132560.0,1754532099
BK1029,汽车整车,1737.98,0.12,2.09,3559149.0,4888613668.0,0.35,1739.4,1733.35,1734.69,1735.89,2271078288000.0,1493917696000.0,-47842128.0,-0.98,131400752.0,1754532099
BK1019,化学原料,948.75,0.11,1.06,3654387.0,5274703938.0,0.5,951.67,946.95,951.18,947.69,916342128000.0,832427936000.0,-300432880.0,-5.7,193398560.0,1754532099
BK0486,文化传媒,10826.03,0.11,11.39,11596884.0,9248963508.0,0.43,10851.18,10805.06,10808.11,10814.64,1127725600000.0,1025980480000.0,88439392.0,0.96,49778160.0,1754532099
BK1018,橡胶制品,1661.82,0.07,1.18,1435627.0,3117955677.0,0.78,1663.29,1650.35,1659.84,1660.64,322003360000.0,256416238000.0,-137906016.0,-4.42,58938912.0,1754532099
BK0421,铁路公路,9213.91,0.06,5.59,1000951.0,656733111.0,0.36,9237.37,9203.88,9223.17,9208.32,740839728000.0,660137008000.0,-37917503.0,-5.77,7641276.0,1754532099
BK1044,生物制品,1168.62,0.04,0.47,2360006.0,6226858330.0,0.86,1174.19,1164.1,1164.1,1168.15,1633802512000.0,940389296000.0,-182047680.0,-2.92,202077808.0,1754532099
BK1032,风电设备,1269.44,0.03,0.42,1807720.0,2936765779.0,0.53,1272.36,1265.68,1266.01,1269.02,344043712000.0,275542096000.0,-49506544.0,-1.69,85351840.0,1754532099
BK0436,纺织服装,13015.71,0.03,3.48,5965576.0,5010039870.0,0.53,13018.11,12949.13,13008.77,13012.23,544588528000.0,494295120000.0,-162956432.0,-3.25,143665296.0,1754532099
BK0728,环保行业,497.17,0.01,0.07,4394663.0,3831376579.0,0.41,498.3,496.28,497.99,497.1,693199936000.0,578806608000.0,-38734632.0,-1.01,36826704.0,1754532099
BK0478,有色金属,19984.56,0.0,0.17,10735511.0,8522732516.0,0.68,20105.14,19968.55,20056.29,19984.39,1772878880000.0,1496110656000.0,-257164720.0,-3.02,273000320.0,1754532099
BK0448,通信设备,17192.25,0.0,-0.57,10988430.0,28162302985.0,0.42,17235.85,17162.83,17185.55,17192.82,1998669952000.0,1700724592000.0,-825018176.0,-2.93,899192576.0,1754532099
BK1040,中药,1542.39,-0.01,-0.09,4968162.0,4764776727.0,0.77,1549.68,1537.82,1538.88,1542.48,932468816000.0,889341504000.0,-176674048.0,-3.71,163494160.0,1754532099
BK0459,电子元件,30713.28,-0.03,-8.0,8546188.0,23803034484.0,0.56,30869.38,30697.46,30697.46,30721.28,2494118752000.0,2075325392000.0,28074768.0,0.12,-23799552.0,1754532099
BK1046,游戏,1481.58,-0.05,-0.71,4253102.0,5533281553.0,0.84,1481.71,1469.27,1477.31,1482.29,489491632000.0,444493808000.0,-207975744.0,-3.76,289814672.0,1754532099
BK0456,家电行业,24195.53,-0.05,-12.16,5065479.0,7259857232.0,0.35,24212.26,24128.56,24212.26,24207.69,1980539616000.0,1734579232000.0,-315353328.0,-4.35,242876464.0,1754532099
BK0725,装修装饰,613.93,-0.05,-0.33,1113388.0,1027266683.0,0.8,616.92,611.98,616.92,614.26,139348021000.0,126744569000.0,-67597628.0,-6.58,29499568.0,1754532099
BK0428,电力行业,17176.74,-0.06,-10.85,6757724.0,4662378637.0,0.31,17222.31,17169.17,17193.68,17187.59,3335378112000.0,2766811376000.0,-117844816.0,-2.53,54932560.0,1754532099
BK0427,公用事业,8588.38,-0.1,-8.49,435968.0,300421126.0,0.31,8602.85,8576.54,8599.61,8596.87,189706208000.0,179176937000.0,-3267260.0,-1.09,-4485812.0,1754532099
BK1017,采掘行业,1388.1,-0.1,-1.41,1070294.0,982245641.0,0.43,1392.21,1386.19,1389.55,1389.51,317525712000.0,266873326000.0,-45683978.0,-4.65,48311729.0,1754532099
BK0457,电网设备,30325.99,-0.11,-32.24,7778892.0,9135706949.0,0.42,30397.63,30270.01,30388.22,30358.23,1326871680000.0,1186782480000.0,-229696128.0,-2.52,262715968.0,1754532099
BK0545,通用设备,43698.79,-0.12,-53.1,16446105.0,27973178569.0,0.53,43849.56,43618.15,43794.37,43751.89,1513742480000.0,1165200800000.0,-1419970608.0,-5.08,1287595520.0,1754532099
BK0485,旅游酒店,15868.77,-0.14,-21.68,2366965.0,2307653028.0,0.63,15868.77,15769.05,15849.06,15890.45,366227392000.0,329290928000.0,-115709808.0,-5.02,117746544.0,1754532099
BK0476,装修建材,14387.37,-0.16,-22.79,1915606.0,1524747595.0,0.4,14423.22,14365.11,14422.98,14410.16,439677184000.0,390087904000.0,-102203761.0,-6.71,48555120.0,1754532099
BK0429,交运设备,11260.2,-0.16,-18.13,2196213.0,3978341053.0,0.53,11298.53,11238.38,11298.3,11278.33,731688864000.0,584135760000.0,-450174800.0,-11.32,320696864.0,1754532099
BK0481,汽车零部件,46722.31,-0.16,-77.17,13301085.0,26549720950.0,0.62,46925.02,46636.9,46925.02,46799.48,2102516320000.0,1761379888000.0,-1562342000.0,-5.89,1318148608.0,1754532099
BK0733,包装材料,1192.22,-0.17,-2.01,1168271.0,959066111.0,0.46,1194.76,1189.3,1193.39,1194.23,140430663000.0,123315790000.0,-71788854.0,-7.49,73661296.0,1754532099
BK0737,软件开发,1301.09,-0.17,-2.28,14073956.0,28391109723.0,0.49,1307.5,1301.09,1301.47,1303.37,2552707632000.0,2135611456000.0,-1016264576.0,-3.58,922071040.0,1754532099
BK0740,教育,705.97,-0.19,-1.33,2721622.0,1856184039.0,0.75,709.02,703.75,704.13,707.3,90319213000.0,81262910000.0,165990853.0,8.94,-63170560.0,1754532099
BK0450,航运港口,10910.41,-0.19,-21.02,2284611.0,1297845307.0,0.36,10938.85,10899.75,10930.57,10931.43,1048317008000.0,847975440000.0,-45030385.0,-3.47,27282512.0,1754532099
BK1033,电池,1151.32,-0.19,-2.22,4123996.0,9520545970.0,0.66,1158.02,1150.36,1153.02,1153.54,2178360224000.0,1976458304000.0,-263219648.0,-2.76,132508336.0,1754532099
BK0420,航空机场,4862.51,-0.23,-11.38,1052237.0,598983159.0,0.41,4875.44,4855.22,4872.09,4873.89,747455744000.0,520320672000.0,-6509512.0,-1.09,7155218.0,1754532099
