交易日期,平均收益率,收益率标准差,股票数量,累计收益率,行业名称,数据类型,成交量,成交额,涨跌幅
2025-05-12,,,0,,银行,历史计算,0,0,
2025-05-13,0.015167,0.007624,10,0.01516699999999993,银行,历史计算,0,0,1.5167
2025-05-14,0.011343,0.009888,10,0.026682039281000103,银行,历史计算,0,0,1.1343
2025-05-15,-0.001291,0.007665,10,0.02535659276828839,银行,历史计算,0,0,-0.1291
2025-05-16,-0.009098,0.006058,10,0.016027898487282366,银行,历史计算,0,0,-0.9098
2025-05-19,-0.002988,0.007082,10,0.012992007126602312,银行,历史计算,0,0,-0.2988
2025-05-20,0.004656,0.008141,10,0.01770849791178386,银行,历史计算,0,0,0.4656
2025-05-21,0.010651,0.009105,10,0.02854811112304234,银行,历史计算,0,0,1.0651000000000002
2025-05-22,0.014183,0.005126,10,0.04313600898310055,银行,历史计算,0,0,1.4183
2025-05-23,-0.011498,0.003569,10,0.03114203115181291,银行,历史计算,0,0,-1.1498
2025-05-26,-0.008332,0.009623,10,0.02255055574825593,银行,历史计算,0,0,-0.8332
2025-05-27,0.010569,0.011206,10,0.03335789257195931,银行,历史计算,0,0,1.0569
2025-05-28,0.004778,0.015889,10,0.03829527658266807,银行,历史计算,0,0,0.4778
2025-05-29,-0.002078,0.005391,10,0.03613769899792918,银行,历史计算,0,0,-0.20779999999999998
2025-05-30,0.012623,0.006557,10,0.04921686517238011,银行,历史计算,0,0,1.2623
2025-06-03,0.022161,0.019278,10,0.07246856012146541,银行,历史计算,0,0,2.2161
2025-06-04,0.002298,0.007449,10,0.0749330928726244,银行,历史计算,0,0,0.2298
2025-06-05,-0.015582,0.011913,10,0.05818348541948315,银行,历史计算,0,0,-1.5582
2025-06-06,0.004104,0.004309,10,0.0625262704436449,银行,历史计算,0,0,0.4104
2025-06-09,0.005591,0.008447,10,0.06846685482169512,银行,历史计算,0,0,0.5590999999999999
2025-06-10,0.009738,0.009226,10,0.07887158505394876,银行,历史计算,0,0,0.9738
2025-06-11,-0.001493,0.006959,10,0.07726082977746329,银行,历史计算,0,0,-0.1493
2025-06-12,0.01326,0.012524,10,0.0915453083803126,银行,历史计算,0,0,1.3259999999999998
2025-06-13,-0.010381,0.008293,10,0.08021397653401663,银行,历史计算,0,0,-1.0381
2025-06-16,0.011499,0.005491,10,0.09263535705018122,银行,历史计算,0,0,1.1499000000000001
2025-06-17,-0.004398,0.009442,10,0.08782994674987443,银行,历史计算,0,0,-0.4398
2025-06-18,0.008131,0.006852,10,0.09667509204689773,银行,历史计算,0,0,0.8130999999999999
2025-06-19,-0.001796,0.00736,10,0.09470546358158138,银行,历史计算,0,0,-0.1796
2025-06-20,0.014186,0.008419,10,0.1102349552879498,银行,历史计算,0,0,1.4186
2025-06-23,0.010502,0.011922,10,0.1218946427883838,银行,历史计算,0,0,1.0502
2025-06-24,-0.000623,0.006815,10,0.1211957024259267,银行,历史计算,0,0,-0.062299999999999994
2025-06-25,0.007502,0.009755,10,0.12960691258552592,银行,历史计算,0,0,0.7502
2025-06-26,0.015097,0.004988,10,0.14666058814482952,银行,历史计算,0,0,1.5097
2025-06-27,-0.027809,0.011336,10,0.11477310384910999,银行,历史计算,0,0,-2.7809
2025-06-30,-0.003838,0.010687,10,0.11049460467653716,银行,历史计算,0,0,-0.3838
2025-07-01,0.020861,0.006288,10,0.13366063262469452,银行,历史计算,0,0,2.0861
2025-07-02,0.005891,0.009503,10,0.14033902741148663,银行,历史计算,0,0,0.5891000000000001
2025-07-03,0.000503,0.004614,10,0.1409126179422746,银行,历史计算,0,0,0.0503
2025-07-04,0.017751,0.007725,10,0.16116495782336804,银行,历史计算,0,0,1.7751
2025-07-07,0.006126,0.013913,10,0.1682782543549941,银行,历史计算,0,0,0.6126
2025-07-08,-0.009946,0.009669,10,0.15665855883717938,银行,历史计算,0,0,-0.9946
2025-07-09,0.006706,0.012945,10,0.16441511113274165,银行,历史计算,0,0,0.6706
2025-07-10,0.013172,0.016739,10,0.17975278697658204,银行,历史计算,0,0,1.3172
2025-07-11,-0.020639,0.006432,10,0.15540386920617233,银行,历史计算,0,0,-2.0639000000000003
2025-07-14,0.009002,0.008312,10,0.16580481483676635,银行,历史计算,0,0,0.9002
2025-07-15,-0.011463,0.004982,10,0.15244119424429248,银行,历史计算,0,0,-1.1462999999999999
2025-07-16,-0.005389,0.00556,10,0.14623068864851008,银行,历史计算,0,0,-0.5388999999999999
2025-07-17,-0.001043,0.008717,10,0.14503517004024968,银行,历史计算,0,0,-0.1043
2025-07-18,0.008261,0.008405,10,0.15449430557995236,银行,历史计算,0,0,0.8261
2025-07-21,-0.007953,0.00497,10,0.14531261236767512,银行,历史计算,0,0,-0.7953
2025-07-22,-0.012397,0.010822,10,0.13111417191215313,银行,历史计算,0,0,-1.2397
2025-07-23,0.001219,0.00439,10,0.13249300008771403,银行,历史计算,0,0,0.12190000000000001
2025-07-24,-0.014632,0.006583,10,0.11592236251043064,银行,历史计算,0,0,-1.4631999999999998
2025-07-25,-0.000463,0.004886,10,0.11540569045658833,银行,历史计算,0,0,-0.0463
2025-07-28,0.004409,0.006863,10,0.12032351414581144,银行,历史计算,0,0,0.44089999999999996
2025-07-29,-0.015231,0.004832,10,0.1032598667018565,银行,历史计算,0,0,-1.5231
2025-07-30,0.005809,0.004397,10,0.10966870326752742,银行,历史计算,0,0,0.5809
2025-07-31,-0.011373,0.006938,10,0.09704844110526589,银行,历史计算,0,0,-1.1373
