概念代码,概念名称,最新指数,涨跌幅,涨跌额,成交量,成交额,振幅,主力净流入,主力净流入占比,上涨家数,下跌家数
BK0816,昨日连板,240.19,5.26,12.01,8939660.0,14791510097.0,1.02,-687459712.0,-4.65,14.0,4.0
BK1051,昨日连板_含一字,77056.4,4.18,3088.34,9259580.0,15413600997.0,2.06,-767230640.0,-4.98,15.0,6.0
BK0815,昨日涨停,4592.37,2.92,130.19,39330471.0,58952960221.0,1.53,-5145077248.0,-8.73,52.0,22.0
BK1050,昨日涨停_含一字,1699.98,2.71,44.88,39650391.0,59575051120.0,1.78,-5224848384.0,-8.77,53.0,24.0
BK0841,体外诊断,1467.34,2.16,31.02,5618895.0,9093983688.0,2.51,465898464.0,5.13,58.0,8.0
BK0806,精准医疗,1189.94,2.09,24.35,7068029.0,8382420350.0,2.53,402602448.0,4.8,37.0,8.0
BK0693,基因测序,2168.17,1.97,41.95,7713554.0,8061432565.0,2.34,366841392.0,4.55,37.0,9.0
BK1147,SPD概念,1111.69,1.92,20.98,1399334.0,2103025092.0,2.17,41721330.0,1.98,11.0,0.0
BK1054,DRG/DIP,1253.92,1.9,23.35,3823580.0,5124294497.0,2.73,48732928.0,0.95,13.0,6.0
BK1085,痘病毒防治,983.38,1.75,16.89,4912720.0,8503750003.0,2.17,65550400.0,0.77,48.0,7.0
BK0865,电子烟,2082.46,1.52,31.25,6389407.0,15322585294.0,1.28,1054401488.0,6.88,34.0,17.0
BK0872,青蒿素,1789.47,1.39,24.48,627560.0,1256436224.0,1.73,98607990.0,7.86,7.0,4.0
BK0668,医疗器械概念,4317.15,1.39,59.0,27911731.0,41039406925.0,1.47,393491392.0,0.96,223.0,90.0
BK0939,辅助生殖,1149.62,1.36,15.46,6637228.0,8118212075.0,2.05,84433216.0,1.04,37.0,16.0
BK0893,无线耳机,2063.53,1.36,27.73,12839939.0,27902168320.0,1.01,1364313728.0,4.89,60.0,21.0
BK0957,拼多多概念,1480.57,1.35,19.69,1844476.0,2876847460.0,1.08,227421727.0,7.91,15.0,7.0
BK1103,熔盐储能,1068.81,1.34,14.14,943568.0,1007425210.0,1.4,51076567.0,5.07,5.0,3.0
BK0954,盲盒经济,1317.93,1.27,16.48,1037721.0,1420788963.0,1.96,63096458.0,4.44,10.0,0.0
BK0666,苹果概念,3623.68,1.24,44.31,16175686.0,37155385385.0,0.98,1597508352.0,4.3,85.0,39.0
BK1137,存储芯片,1486.67,1.22,17.93,5572500.0,14728049669.0,1.41,571088144.0,3.88,44.0,14.0
BK1170,AI制药（医疗）,1443.8,1.2,17.18,5673730.0,9257337907.0,1.9,-156209072.0,-1.69,30.0,14.0
BK0951,刀片电池,2536.52,1.14,28.68,1154933.0,3500413903.0,1.24,326601712.0,9.34,4.0,7.0
BK0902,MiniLED,1931.34,1.11,21.24,6675235.0,10143467010.0,1.11,547855136.0,5.4,43.0,13.0
BK1023,培育钻石,1616.89,1.09,17.38,1407429.0,2935392261.0,1.47,-93905984.0,-3.2,9.0,3.0
BK0986,CAR-T细胞疗法,1261.66,1.04,12.93,2348565.0,4244390701.0,2.05,-143355488.0,-3.38,14.0,9.0
BK0837,互联医疗,1134.83,1.03,11.54,12889348.0,19044783189.0,1.21,-156544080.0,-0.82,65.0,27.0
BK1177,荣耀概念,1821.53,1.01,18.22,6482513.0,12904412179.0,0.84,166996880.0,1.29,38.0,15.0
BK1078,肝炎概念,1500.97,1.0,14.8,5415409.0,8653199501.0,1.49,-170677584.0,-1.97,33.0,17.0
BK0916,氮化镓,1445.85,0.99,14.23,4301903.0,9201125895.0,1.14,18302608.0,0.2,30.0,17.0
BK1178,AI眼镜,1881.62,0.99,18.42,9324226.0,18780028169.0,1.0,558770640.0,2.98,72.0,23.0
BK0993,宠物经济,1011.81,0.98,9.85,3110050.0,5321927548.0,1.02,64994144.0,1.22,40.0,19.0
BK1162,AI手机,1637.28,0.98,15.91,5506718.0,10698298369.0,1.11,104623632.0,0.98,22.0,10.0
BK0803,股权转让,752.21,0.97,7.21,3188094.0,2876507986.0,1.02,107833758.0,3.75,21.0,16.0
BK0880,UWB概念,1719.06,0.96,16.35,4205688.0,6944616740.0,0.89,-35264720.0,-0.51,10.0,8.0
BK1138,液冷概念,1402.96,0.94,13.1,12510021.0,24128461502.0,1.03,-673855104.0,-2.79,41.0,33.0
BK0675,病毒防治,2985.95,0.94,27.79,11001003.0,14545124986.0,1.42,82597824.0,0.57,72.0,35.0
BK0850,进口博览,1064.83,0.94,9.88,1481126.0,1160115358.0,1.19,53757971.0,4.64,7.0,6.0
BK0901,3D摄像头,1648.43,0.93,15.13,2705162.0,7020833796.0,0.84,443558784.0,6.32,8.0,2.0
BK0889,医疗美容,1826.31,0.92,16.59,6506894.0,8033194449.0,1.21,-45412528.0,-0.57,50.0,18.0
BK0969,汽车芯片,1250.69,0.91,11.31,5136343.0,13503056146.0,0.97,39660192.0,0.29,44.0,15.0
BK0842,富士康,2058.5,0.89,18.22,4113286.0,10583739537.0,0.97,316611184.0,2.99,21.0,16.0
BK0974,化妆品概念,1311.74,0.87,11.35,2468762.0,4918618399.0,0.99,-6612640.0,-0.13,39.0,13.0
BK1125,电子后视镜,1664.11,0.86,14.23,1968633.0,2789320554.0,0.87,29035297.0,1.04,15.0,9.0
BK0641,智能穿戴,3379.87,0.86,28.8,17233313.0,31694258907.0,0.8,938220464.0,2.96,84.0,35.0
BK1160,柔性屏(折叠屏),1578.52,0.84,13.21,10738638.0,15835201595.0,0.77,-27053744.0,-0.17,51.0,21.0
BK0833,小米概念,2077.78,0.81,16.69,25955554.0,43698521318.0,0.8,249090304.0,0.57,131.0,81.0
BK1056,幽门螺杆菌概念,1060.15,0.8,8.37,5154049.0,6382188452.0,1.35,-98626752.0,-1.55,29.0,18.0
BK0965,社区团购,939.77,0.79,7.36,1987691.0,1829710679.0,0.88,138485686.0,7.57,27.0,6.0
BK1133,ERP概念,1443.4,0.76,10.9,1785195.0,4267237691.0,0.95,68356672.0,1.6,11.0,8.0
BK0698,免疫治疗,1718.05,0.75,12.82,2823278.0,4178633170.0,1.23,-91979744.0,-2.2,27.0,14.0
