feature_name,importance,feature_index,importance_rank,importance_percent,cumulative_percent
step_00_个股_RSI,1872,7,1,9.3246,9.3246
step_00_个股_振幅,1648,5,2,8.2088,17.5334
step_00_个股_开盘价,1634,0,3,8.1391,25.6725
step_00_个股_换手率,1502,4,4,7.4816,33.1541
step_00_个股_流通市值,1379,6,5,6.8689,40.023
step_00_个股_涨跌幅,1260,2,6,6.2762,46.2992
step_00_个股_MACD_signal,1187,9,7,5.9125,52.2117
step_00_个股_成交量,1183,1,8,5.8926,58.1043
step_00_个股_成交额,1154,3,9,5.7482,63.8525
step_00_行业_开盘价,1111,10,10,5.534,69.3865
step_00_个股_MACD,978,8,11,4.8715,74.258
step_00_行业_涨跌幅,882,12,12,4.3933,78.6513
step_00_行业_成交量,866,11,13,4.3136,82.9649
step_00_情绪_sentiment_1,807,17,14,4.0197,86.9846
step_00_情绪_sentiment_0,788,16,15,3.9251,90.9097
step_00_指数_上证指数,676,13,16,3.3672,94.2769
step_00_指数_深证成指,598,15,17,2.9787,97.2556
step_00_指数_沪深300,551,14,18,2.7446,100.0002
