stock_code,个股_开盘价,个股_收盘价,个股_最高价,个股_成交量,个股_涨跌幅,个股_成交额,个股_换手率,个股_振幅,个股_流通市值,个股_RSI,个股_MACD,个股_MACD_signal,个股_BB_upper,个股_BB_middle,个股_BB_lower,行业_开盘价,行业_收盘价,行业_最高价,行业_最低价,行业_成交量,行业_涨跌幅,指数_上证指数,指数_沪深300,指数_深证成指,指数_创业板指,指数_中证500,情绪_sentiment_0,情绪_sentiment_1
sh601399,4.0,4.09,4.09,3067572.0,9.95,1216651481.0,4.25,8.06,29503443590.1,93.44262295081967,0.15447737473021173,0.05805469429896608,3.7018233820706534,3.1365000000000003,2.571176617929347,17718.92,17473.69,17758.65,17458.38,67333299.0,-1.15,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz301292,19.84,19.58,19.96,56499.0,-1.66,111491811.0,6.64,2.11,1666648738.4799998,23.943661971831048,0.23961887761074863,0.5915700186406405,22.95232491700548,20.8495,18.746675082994518,1399.49,1381.32,1399.49,1380.36,5666111.0,-1.14,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz300891,9.66,9.41,9.7,143981.0,-3.09,137017817.0,4.33,3.09,3128087914.7,45.80152671755724,0.11505156823396412,0.14043443679598633,10.056514439776308,9.646,9.235485560223694,945.49,931.41,947.18,930.27,21011897.0,-1.38,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz002423,12.78,12.61,12.94,473739.0,-1.1,604168876.22,2.06,2.82,29054771300.75,61.98630136986299,0.2076811745350824,0.22955151956548206,13.453267582679018,12.567499999999999,11.68173241732098,1389.59,1392.13,1400.76,1384.35,8914032.0,-0.05,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh600017,3.3,3.3,3.33,409052.0,-0.3,135510465.0,1.33,1.21,10149657830.4,73.52941176470588,0.033207018306735225,0.022391086799225735,3.327117355931095,3.197,3.066882644068905,1166.55,1165.1,1174.35,1161.95,5261675.0,-0.16,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh603350,38.56,38.12,38.9,26012.0,-1.63,99662965.0,5.91,3.1,1677280000.0,64.57943925233641,0.8845054741294618,0.6689274601566145,41.13271154152366,36.871,32.60928845847634,14187.62,14096.42,14219.26,14080.8,11700001.0,-0.45,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz300119,21.3,21.56,21.73,109727.0,0.84,235678370.0,3.28,2.2,7221781172.759999,73.47480106100791,0.23209183934417155,-0.04764130060783794,22.07454884195062,20.201,18.32745115804938,23368.85,23359.14,23518.9,23303.2,14204603.0,0.0,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz002382,6.49,6.4,6.54,191781.0,-1.84,123785637.91,1.92,2.45,6398049382.400001,67.14285714285717,0.2268026432274297,0.2026854697900287,6.623487977265296,6.044,5.464512022734703,1529.36,1511.06,1548.36,1508.97,8257079.0,-0.79,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh603048,19.15,19.24,19.39,57512.0,0.1,110582630.0,3.92,1.87,2825971200.0,62.15469613259668,0.3346937945028756,0.21120715687957395,20.99206262403035,18.78,16.567937375969652,1074.44,1069.78,1086.63,1068.06,2522558.0,-1.28,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz000712,13.68,13.5,13.89,560399.0,-1.03,765907620.45,6.26,3.08,12092410687.5,62.06896551724138,0.2672352749066569,0.23899486941381035,13.914195206324552,13.217499999999998,12.520804793675444,8622.87,8565.28,8855.14,8512.87,73423685.0,0.62,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh603212,11.76,11.46,11.85,206488.0,-2.96,239082084.0,4.72,3.81,5013642688.56,25.907990314769975,0.18724777098924505,0.3845026249778176,13.754618815024866,12.269499999999999,10.784381184975132,1144.8,1122.95,1149.47,1121.03,28868288.0,-1.66,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh603139,22.07,21.62,22.13,21843.0,-2.04,47668454.0,2.19,2.49,2159405600.0,36.51226158038151,0.15225602070708177,0.2992373823137336,23.72985630060599,22.218,20.70614369939401,19821.62,19645.46,19853.44,19599.14,36080625.0,-0.92,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh600908,6.19,6.21,6.28,206776.0,0.16,129030637.0,1.03,1.45,12415731649.65,33.3333333333333,-0.002260322971011419,0.039048793874883636,6.585058696170793,6.377,6.1689413038292065,1481.82,1490.2,1500.51,1477.08,15121468.0,0.32,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh601618,3.24,3.17,3.26,1980654.0,-1.86,634941024.0,1.11,3.1,56592802768.9,70.0,0.049321920650333695,0.033938188389602414,3.1817086662850507,3.0460000000000003,2.91029133371495,3058.55,3022.36,3059.39,3017.65,51292377.0,-1.01,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz000066,14.82,14.74,14.94,518096.0,-0.74,768891159.02,1.61,1.48,47545194212.12,59.35483870967745,0.08448023568823082,0.03773470568835351,15.114213246213405,14.626500000000002,14.138786753786599,1505.93,1485.34,1507.95,1482.5,8706820.0,-1.2,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz002941,12.87,12.2,12.95,534378.0,-5.65,664766027.7,8.28,5.96,7876092860.4,68.70748299319727,0.2522746151602,0.10144196742080419,12.422351005926703,11.4185,10.414648994073296,28427.97,28308.36,28533.62,28250.99,22105344.0,-0.82,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh600080,7.58,7.55,7.61,65961.0,-0.4,49787286.0,1.77,1.98,2818190651.75,64.21052631578945,0.095308388143307,0.05318093212461894,7.614867915366629,7.272500000000001,6.930132084633373,1572.58,1545.64,1573.11,1541.07,5823139.0,-0.43,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz300894,13.94,14.24,15.18,349996.0,5.87,501546630.0,11.9,10.78,4187599662.4,76.57657657657654,0.22392272752666464,0.12082461983239816,13.75520544127859,13.0535,12.351794558721409,1433.69,1445.27,1459.87,1428.89,5902963.0,1.1,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz301580,45.8,47.66,48.49,58881.0,3.36,279411873.0,8.18,5.88,3432329838.72,85.56806550665299,0.5314140648289225,-0.5002845819241919,46.997099637356904,42.281,37.564900362643094,11750.52,11417.53,11757.97,11399.41,29376759.0,-0.71,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh601595,30.75,31.02,31.64,104531.0,1.21,325380368.0,2.33,2.9,13903164000.0,81.68421052631572,0.17607977072169945,-0.20754309485563327,31.04199302592737,28.944,26.84600697407263,2327.04,2301.03,2329.66,2300.17,12909302.0,-0.34,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh688778,50.2,47.66,50.2,96970.0,-4.49,468513871.0,1.92,5.65,24053577015.78,48.96226415094337,-1.0636299874511579,-1.0881372490041998,58.796438284578095,49.453500000000005,40.110561715421916,9870.16,9837.51,9893.74,9818.6,9960546.0,-0.78,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh600900,29.41,29.18,29.45,1073549.0,-0.61,3142732507.0,0.45,0.95,700531744757.54,33.8078291814947,-0.20355417288501343,-0.077055051674601,31.00372574626885,30.096999999999998,29.190274253731147,9521.72,9449.16,9608.11,9443.32,10928674.0,-0.25,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz300031,24.71,24.45,24.86,157374.0,-1.77,386506017.0,4.47,1.77,8604001259.4,47.526881720430104,-0.016439211229936745,-0.13854108902876425,25.4502408292662,24.2775,23.1047591707338,17841.59,17902.32,18066.13,17825.64,22178987.0,0.28,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh600191,7.75,7.68,7.81,65795.0,-0.9,50919746.0,1.36,1.81,3724277760.0,45.85365853658537,0.06512367402659613,0.1102059739399416,8.46272429008311,7.852499999999999,7.24227570991689,28630.58,28198.64,28648.06,28174.23,38982692.0,-0.97,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh600875,23.74,23.74,23.74,2127681.0,10.01,5045433382.0,10.51,3.01,48039766884.4,96.73202614379089,1.1303274810673507,0.523126297071118,21.411058290522753,17.7085,14.005941709477248,7467.45,7436.18,7511.95,7431.15,16640091.0,-0.06,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh688689,24.18,24.52,25.06,16281.0,0.2,39700311.0,1.26,4.41,3160705654.84,70.85714285714288,0.5640425619482343,0.4533914889054436,24.89417394194593,23.4875,22.080826058054072,29143.66,28951.25,29255.76,28914.67,13671772.0,-0.58,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz002459,12.12,11.65,12.27,1012452.0,-3.8,1209469495.79,3.06,5.37,38508147718.25,62.817551963048516,0.5124983930245541,0.4534860229038344,12.511666156651579,10.9365,9.361333843348422,4382.79,4406.93,4449.01,4382.79,48702431.0,0.31,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz002953,10.88,10.68,10.89,70808.0,-1.48,76180564.39,2.61,1.94,2901088831.08,59.31034482758622,0.11492430069874437,0.09667932932271349,10.920207936847746,10.5585,10.196792063152255,4921.73,4892.85,4983.61,4888.27,20381546.0,0.2,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh603223,11.0,10.9,11.1,81596.0,-0.82,89395869.0,1.48,2.46,7784638801.400001,53.658536585365894,0.22263576620662917,0.25645658161016377,11.297456809023865,10.783999999999999,10.270543190976133,51563.05,50997.4,51738.19,50948.31,4108115.0,-0.95,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh600765,17.1,16.9,17.11,207598.0,-1.34,352409701.0,1.41,1.46,26439004785.7,57.4999999999999,0.17504562277582636,0.12579402817032515,17.13594432114172,16.6195,16.103055678858276,533.13,521.84,535.58,521.29,6322190.0,-1.27,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz000551,11.09,10.98,11.18,112755.0,-0.63,124650433.0,2.33,2.26,5303146257.900001,24.33155080213902,-0.36484430908312326,-0.38019010286512744,13.370335256012781,11.397499999999999,9.424664743987217,1445.21,1437.55,1448.05,1434.27,9702718.0,-0.7,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz300331,20.96,20.82,21.05,51316.0,-1.14,107252301.0,2.49,1.33,4292601288.3,24.590163934426158,-0.08623004936077905,0.03619315791241408,22.72565779120857,21.652,20.578342208791433,16828.65,16668.33,16829.18,16630.15,14515345.0,-1.2,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh601186,8.93,8.43,8.93,2288093.0,-4.31,1974829174.0,1.99,5.79,96972359565.0,63.565891472868195,0.14568803496644556,0.10796105469278405,8.665174696649219,8.2395,7.8138253033507805,689.75,683.55,697.73,681.42,15320556.0,-1.06,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh688127,26.06,26.94,27.24,54250.0,2.24,145507248.0,1.35,4.48,10862003256.0,51.24087591240877,0.5651978016981154,0.5079392718442918,27.081024139076394,25.750999999999998,24.4209758609236,8681.39,8642.28,8735.07,8632.9,3514163.0,-0.44,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz000768,28.94,28.47,28.94,296270.0,-1.83,847818913.75,1.07,1.93,78939505148.79,65.52419354838706,0.8123330144492868,0.7108203454649885,29.322997078966,27.5865,25.850002921034,938.6,939.46,947.03,932.33,9601834.0,-0.02,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz300565,12.13,11.95,12.13,86209.0,-1.48,103080765.0,3.79,2.39,2727051482.75,39.484978540772524,0.055604067180599515,0.13412173987175624,12.74727512074709,12.363000000000001,11.978724879252912,1722.26,1726.31,1741.16,1716.11,3418400.0,-0.1,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh601811,14.77,14.85,15.03,49077.0,0.0,73364513.0,0.62,1.82,11759772915.0,57.65765765765768,-0.02095943339359785,-0.05378251335532333,14.951940106129536,14.7135,14.475059893870464,485.05,483.84,486.97,482.34,23486806.0,-0.03,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh603017,9.79,9.56,9.82,120150.0,-2.45,115662936.0,4.32,2.76,2640379201.08,50.9677419354839,0.0026464001304091767,-0.015929475154263798,9.78569150025909,9.529,9.27230849974091,44263.79,44064.66,44382.23,44002.16,33195927.0,-0.73,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh600526,5.03,4.99,5.05,97625.0,-0.6,48928632.0,1.37,1.39,3551014104.27,61.90476190476194,0.05277092515623316,0.039261060782230586,5.04602942610572,4.8875,4.72897057389428,1717.32,1705.53,1723.99,1704.4,11533306.0,-0.64,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz002675,15.67,15.63,15.8,143949.0,-1.14,225577686.06,1.94,1.77,11619091826.22,69.08396946564888,0.2404417328759152,0.09757454130369822,15.715356262153675,14.738,13.760643737846324,1126.02,1107.13,1126.02,1104.86,12470410.0,-1.9,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh688616,13.3,13.02,13.34,25357.0,-2.76,33196951.0,1.41,2.69,2335505010.3,61.26126126126125,0.29287151732442496,0.2872661882023772,13.366327010416754,12.842500000000001,12.318672989583249,1199.49,1217.04,1239.41,1199.48,12533816.0,1.3,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz000559,7.95,7.79,8.02,566741.0,-2.26,447158665.7,1.72,3.01,25736436766.31,51.77664974619291,0.04957630992228346,0.06220404586692248,8.298656513808286,7.908500000000001,7.518343486191716,478.98,478.1,483.18,477.29,3323545.0,-0.3,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz301181,25.96,25.84,26.19,14012.0,-0.62,36341654.0,3.73,2.08,970058742.32,63.14363143631434,0.3657656447130968,0.24978332492778402,26.61609326425677,25.212,23.80790673574323,15894.04,15738.74,15903.99,15720.36,6085778.0,-0.92,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh603018,9.46,8.75,9.47,991813.0,-7.41,902483030.0,14.5,7.62,5983193693.75,59.10652920962198,0.2047899307353891,0.1262473727787371,8.926191701696183,8.261000000000001,7.595808298303819,41622.56,41271.54,41998.63,41095.56,8765473.0,-0.78,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz000719,12.99,12.97,13.18,63941.0,0.08,83575933.0,0.96,1.77,8652903632.710001,56.83060109289619,0.03864034776981384,0.062360827679379616,13.53118986471226,12.9815,12.43181013528774,1613.53,1606.79,1619.15,1603.72,22885225.0,-0.62,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh603709,13.47,13.43,13.58,12125.0,-0.22,16313290.0,0.97,1.71,1680217496.1,55.05617977528089,0.18328886873338668,0.2050558712914828,13.70746169035183,13.3125,12.91753830964817,30595.72,29741.47,30595.72,29710.34,45312451.0,-2.41,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh688372,56.0,57.65,58.3,57591.0,2.67,329760535.0,5.58,4.42,5952825602.45,49.028571428571425,-1.4690980821608548,-1.8259961676914713,60.141480382544565,57.801,55.46051961745544,1220.79,1224.16,1235.45,1213.75,39108348.0,0.07,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz002052,10.82,10.73,11.33,285285.0,-0.83,311961335.52,4.17,6.28,7397124173.150001,45.366795366795365,0.24774503065713915,0.4379031092504375,13.099419550528559,11.306000000000001,9.512580449471443,152701.48,153231.95,156330.86,152701.48,61785280.0,0.5,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz002563,5.34,5.32,5.38,255255.0,-0.37,136577322.14,1.16,1.31,11713014793.2,54.761904761904795,-0.02098872315525835,-0.04646216505780229,5.364874089736466,5.2515,5.138125910263534,15657.63,15503.97,15696.83,15502.1,8120401.0,-0.77,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh601908,3.96,4.02,4.18,2491030.0,1.26,1011288417.0,10.32,6.8,9706703501.22,58.33333333333332,0.20636395406851227,0.20526955210750264,4.492591751599036,3.7365000000000004,2.9804082484009644,41691.23,41028.58,41695.93,40997.59,36542159.0,-1.51,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh688093,30.4,30.39,30.79,17978.0,-0.65,54720209.0,0.68,1.99,7981365571.68,34.21052631578948,0.5744692368706588,0.7873537768601859,32.06647702858072,30.723000000000003,29.379522971419284,1073.77,1048.41,1073.77,1047.17,6011718.0,-2.88,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
