stock_code,个股_开盘价,个股_收盘价,个股_最高价,个股_成交量,个股_涨跌幅,个股_成交额,个股_换手率,个股_振幅,个股_流通市值,个股_RSI,个股_MACD,个股_MACD_signal,个股_BB_upper,个股_BB_middle,个股_BB_lower,行业_开盘价,行业_收盘价,行业_最高价,行业_最低价,行业_成交量,行业_涨跌幅,指数_上证指数,指数_沪深300,指数_深证成指,指数_创业板指,指数_中证500,情绪_sentiment_0,情绪_sentiment_1
sz300465,16.07,15.62,16.07,154730.0,-2.86,243685139.0,3.49,3.54,6931364956.339999,32.95019157088119,0.05230445918720328,0.15639481810343153,17.209439510664748,16.192,15.174560489335253,1483.04,1478.64,1492.59,1471.75,3820998.0,0.0,3615.72,4151.24,11203.03,2367.68,6314.69,-0.65,-1.3
sh688098,6.84,6.9,7.08,100054.0,0.73,69198419.0,2.44,4.38,2833443600.0,82.30088495575225,0.2062350211387587,0.15987391479879126,6.907145752993165,6.3995,5.891854247006835,11296.01,11227.13,11385.29,11189.88,12557429.0,0.11,3615.72,4151.24,11203.03,2367.68,6314.69,-0.65,-1.3
sz000423,50.4,52.28,52.39,164318.0,3.73,850090257.44,2.56,4.23,33616985483.8,62.3931623931624,-0.3806501147288728,-0.7012904789056656,52.28395304136213,50.594500000000004,48.905046958637875,2337.36,2304.2,2340.41,2286.9,9957823.0,-1.76,3615.72,4151.24,11203.03,2367.68,6314.69,-0.65,-1.3
sh600282,4.69,4.74,4.88,591251.0,0.64,283687392.0,0.96,4.25,29222531392.140003,61.72839506172843,0.11291293914293732,0.1122277900875515,4.8352781590018985,4.599,4.362721840998102,9940.9,9897.13,9972.97,9827.72,7535324.0,-0.61,3615.72,4151.24,11203.03,2367.68,6314.69,-0.65,-1.3
sh603221,11.28,11.31,11.33,47788.0,0.98,53682405.0,1.97,2.23,2740073700.0,43.47826086956522,0.06391765536750604,0.08070144341655626,11.621591688754163,11.2955,10.969408311245838,9236.94,9231.21,9277.26,9189.6,5889433.0,-0.25,3615.72,4151.24,11203.03,2367.68,6314.69,-0.65,-1.3
sz300436,90.1,97.0,98.0,174568.0,5.18,1621933284.0,12.77,10.5,13261822443.0,84.6045197740113,12.103705599972756,9.966862833420718,94.91199582658561,68.4995,42.087004173414385,18010.16,18265.15,18328.17,17988.53,24120059.0,1.03,3615.72,4151.24,11203.03,2367.68,6314.69,-0.65,-1.3
sz000566,6.6,6.55,6.77,674185.0,-1.65,447078649.34,5.78,3.9,7636708751.15,52.515723270440255,0.18903426814493773,0.18398576544023745,7.122982519395253,6.4319999999999995,5.741017480604746,1232.72,1231.4,1238.26,1224.24,5634456.0,-0.17,3615.72,4151.24,11203.03,2367.68,6314.69,-0.65,-1.3
sh605098,35.51,36.11,36.23,16330.0,1.32,58706673.0,1.37,2.02,4306157221.0,53.43915343915341,0.05454254493283628,0.023296695179203394,36.359985104054225,35.83,35.30001489594577,7495.69,7524.43,7588.55,7478.88,12528617.0,0.57,3615.72,4151.24,11203.03,2367.68,6314.69,-0.65,-1.3
sz002057,10.29,9.92,10.32,533796.0,-3.22,533824892.33,7.08,4.78,7473975166.72,62.8482972136223,0.3880144486707078,0.3582089837087777,10.928253548262836,9.654,8.379746451737164,29044.93,29526.94,29542.01,29004.95,22547799.0,1.25,3615.72,4151.24,11203.03,2367.68,6314.69,-0.65,-1.3
sz300618,38.67,37.98,39.39,125658.0,-1.48,480227435.0,4.63,4.64,10304762388.839998,70.14492753623189,0.9683157554791251,0.7781822149203611,38.9061580519367,36.30800000000001,33.709841948063314,4303.57,4323.07,4360.32,4291.69,43579192.0,0.52,3615.72,4151.24,11203.03,2367.68,6314.69,-0.65,-1.3
