stock_code,个股_开盘价,个股_收盘价,个股_最高价,个股_成交量,个股_涨跌幅,个股_成交额,个股_换手率,个股_振幅,个股_流通市值,个股_RSI,个股_MACD,个股_MACD_signal,个股_BB_upper,个股_BB_middle,个股_BB_lower,行业_开盘价,行业_收盘价,行业_最高价,行业_最低价,行业_成交量,行业_涨跌幅,指数_上证指数,指数_沪深300,指数_深证成指,指数_创业板指,指数_中证500,情绪_sentiment_0,情绪_sentiment_1
sz300465,16.68,17.72,18.88,1151121.0,8.11,2078486654.0,25.94,13.42,7863238606.04,64.76552598225601,0.5397731822972993,0.4569113088509507,17.654541915167975,15.773999999999997,13.89345808483202,1477.25,1481.53,1488.23,1474.2,3279311.0,1.15,3497.48,3998.45,10588.39,2181.08,5977.74,0.89,1.6
sh688098,6.15,6.16,6.22,37248.0,0.49,22946870.0,0.91,1.96,2529567040.0,62.92134831460676,0.07201506346835362,0.05936818984918633,6.230439119419886,5.994999999999999,5.759560880580112,10461.81,10521.38,10521.89,10417.04,7750967.0,0.56,3497.48,3998.45,10588.39,2181.08,5977.74,0.89,1.6
sz000423,51.28,51.38,51.42,45480.0,0.2,233131222.19,0.71,0.76,33038269207.300003,37.11340206185565,-1.0313894800140986,-1.0679359941286666,54.350597667077004,52.330999999999996,50.31140233292299,2216.59,2242.0,2243.23,2196.34,10498323.0,1.72,3497.48,3998.45,10588.39,2181.08,5977.74,0.89,1.6
sh600282,4.47,4.52,4.54,390823.0,0.89,175191271.0,0.63,2.46,27866211369.72,81.66666666666663,0.061079894757517295,0.010552898488810006,4.505420757570395,4.205,3.9045792424296053,9795.52,9832.85,9832.85,9738.54,8842361.0,1.13,3497.48,3998.45,10588.39,2181.08,5977.74,0.89,1.6
sh603221,11.32,11.28,11.4,58191.0,0.09,65701549.0,2.4,1.33,2732805600.0,74.81481481481488,0.04783400092140333,-0.0021269878442734696,11.437676136720269,10.91,10.382323863279732,9174.86,9178.53,9192.74,9138.02,5083368.0,0.1,3497.48,3998.45,10588.39,2181.08,5977.74,0.89,1.6
sz300436,57.01,60.22,63.7,286982.0,7.75,1723620458.0,20.99,14.03,8233267500.18,82.48781885927198,4.8491884625698205,2.358905912756545,54.7562295168323,39.0165,23.276770483167702,17350.46,17464.57,17468.44,17338.14,13655391.0,0.68,3497.48,3998.45,10588.39,2181.08,5977.74,0.89,1.6
sz000566,5.94,6.14,6.53,1299711.0,3.37,814290762.0,11.15,10.77,7158685760.62,55.9748427672956,0.03771022224187082,0.0437583998924241,6.584783876613469,6.0225,5.460216123386531,1188.23,1211.99,1212.35,1182.46,7145582.0,2.09,3497.48,3998.45,10588.39,2181.08,5977.74,0.89,1.6
sh605098,35.49,35.65,35.73,4516.0,0.17,16086731.0,0.38,0.73,4251301715.0,55.42168674698793,-0.1786424179386188,-0.28936679268988724,36.42418660148725,35.509499999999996,34.59481339851274,7180.67,7234.09,7234.31,7180.47,9763763.0,0.74,3497.48,3998.45,10588.39,2181.08,5977.74,0.89,1.6
sz002057,9.13,9.19,9.25,211483.0,0.55,194273621.51,2.81,1.53,6923974978.04,71.50837988826815,0.2333806071188569,0.26055049426052057,9.677926687664595,9.0165,8.355073312335406,28783.67,28863.4,28885.47,28699.81,12562688.0,0.41,3497.48,3998.45,10588.39,2181.08,5977.74,0.89,1.6
sz300618,34.99,35.6,35.87,86430.0,2.06,307296197.0,3.19,2.81,9659018984.8,62.1654501216545,0.6591441806051037,0.6875948000971177,37.03294409860463,34.8615,32.69005590139537,4526.31,4508.74,4548.35,4478.0,37242528.0,-0.46,3497.48,3998.45,10588.39,2181.08,5977.74,0.89,1.6
sz001217,11.71,11.77,11.78,44692.0,0.43,52458056.0,1.36,0.85,3867422168.94,52.70270270270268,0.12493999617479723,0.16928787393359285,12.394724659889265,11.813500000000001,11.232275340110737,4699.73,4717.14,4719.21,4682.79,5394459.0,0.35,3497.48,3998.45,10588.39,2181.08,5977.74,0.89,1.6
sh688020,38.69,39.93,42.28,31645.0,2.73,128903527.0,3.91,9.36,3227611697.64,64.1635687732342,1.5305456250706655,1.2736899378884692,41.077646275796866,36.8095,32.541353724203134,49448.79,49744.37,49744.37,49355.26,2802527.0,0.67,3497.48,3998.45,10588.39,2181.08,5977.74,0.89,1.6
sz001260,19.06,19.26,19.26,25327.0,1.8,48429421.42,7.98,2.11,611505000.0,77.40740740740728,0.28008882525276135,0.19546873031816228,19.429772298194433,18.339499999999997,17.249227701805562,482.13,493.64,495.48,482.13,4349391.0,2.59,3497.48,3998.45,10588.39,2181.08,5977.74,0.89,1.6
sz301151,17.9,17.7,17.92,48422.0,0.06,85557571.0,8.69,2.09,986543908.8,71.26865671641798,0.32354347024856267,0.30461702574303756,17.8307856849929,17.047,16.2632143150071,1419.68,1443.33,1443.34,1416.8,11885690.0,1.53,3497.48,3998.45,10588.39,2181.08,5977.74,0.89,1.6
sz300052,10.2,10.29,10.44,124744.0,-0.1,128198662.0,4.76,3.3,2694423225.9,62.67942583732053,0.0929681983747539,0.024681148358168814,10.349422640391964,9.792,9.234577359608036,15560.6,15758.54,15758.54,15505.57,18734655.0,1.55,3497.48,3998.45,10588.39,2181.08,5977.74,0.89,1.6
sh600496,3.32,3.29,3.32,226618.0,-0.9,74539275.0,1.14,1.81,6547509081.89,72.00000000000004,0.04579319523771819,0.019123370101201756,3.3640680724265177,3.146,2.927931927573482,655.71,675.38,679.46,651.69,19869155.0,2.47,3497.48,3998.45,10588.39,2181.08,5977.74,0.89,1.6
sh603616,4.66,4.7,4.72,314239.0,2.17,146784932.0,8.24,2.39,1792429600.0,62.162162162162154,0.16847612179708005,0.18026396021624486,4.974810220188831,4.452,3.9291897798111686,8627.75,8633.08,8644.17,8572.08,3726345.0,0.13,3497.48,3998.45,10588.39,2181.08,5977.74,0.89,1.6
sh688581,63.97,65.01,65.25,8150.0,1.61,52608853.0,1.97,2.34,2692481204.1600003,55.336617405582935,0.502415530185047,0.4656165572467799,67.0768598423997,64.2345,61.392140157600295,890.53,896.97,898.84,889.38,10229314.0,0.45,3497.48,3998.45,10588.39,2181.08,5977.74,0.89,1.6
sz300444,7.65,7.58,7.7,569488.0,-1.56,430932085.0,9.61,2.99,4489640768.94,71.2041884816754,0.20766158959927594,0.11930688554307438,7.598465422743336,6.929499999999999,6.260534577256662,1712.71,1735.57,1748.58,1709.39,4639917.0,1.41,3497.48,3998.45,10588.39,2181.08,5977.74,0.89,1.6
sh600637,7.49,7.53,7.54,169531.0,0.53,127457327.0,0.5,0.8,25315105622.01,68.18181818181822,0.020159908358331258,0.008359189462899983,7.597510374903492,7.432,7.266489625096509,466.28,469.7,469.7,465.23,16627854.0,0.84,3497.48,3998.45,10588.39,2181.08,5977.74,0.89,1.6
sh688708,55.38,56.56,56.77,13168.0,1.91,73986915.0,3.43,3.1,2172446976.0,63.328822733423564,0.5986787491019712,0.1914116229557502,57.35344510782976,53.747,50.14055489217024,42294.62,42808.11,42808.11,42190.75,31222836.0,1.26,3497.48,3998.45,10588.39,2181.08,5977.74,0.89,1.6
sz300234,5.21,5.27,5.34,110326.0,1.54,58039648.0,3.21,2.89,1812811721.88,81.08108108108118,0.0968393046659699,0.06410703495177728,5.241518340058956,4.947,4.652481659941044,1657.42,1668.37,1668.62,1655.99,8075115.0,0.53,3497.48,3998.45,10588.39,2181.08,5977.74,0.89,1.6
sz000935,18.66,18.44,18.71,77684.0,-0.91,143674857.0,1.02,1.72,14077839740.52,59.451219512195145,0.3473715691240926,0.320828772607114,18.828272431056487,17.992,17.155727568943515,1082.95,1095.04,1098.07,1079.33,13467884.0,1.1,3497.48,3998.45,10588.39,2181.08,5977.74,0.89,1.6
sh603315,12.4,12.58,12.59,46673.0,1.45,58501903.0,1.49,1.85,3946676401.12,68.79432624113474,0.008507344229954583,-0.03764292678682441,12.796853255924454,12.3,11.803146744075548,1091.52,1117.35,1117.89,1090.67,7841850.0,2.18,3497.48,3998.45,10588.39,2181.08,5977.74,0.89,1.6
sh688056,32.68,33.15,33.32,3865.0,1.41,12802800.0,0.57,2.17,2236049049.0,52.69645608628661,0.0036445990406974715,-0.09053740569352556,34.1014223894939,32.652,31.202577610506108,493.04,496.33,500.7,492.13,9830224.0,0.77,3497.48,3998.45,10588.39,2181.08,5977.74,0.89,1.6
sz301237,28.84,29.38,29.88,18448.0,1.87,54341886.0,4.7,4.13,1153165000.0,86.51252408477843,0.9619372451477837,0.770916195019751,29.919964985614207,27.0875,24.25503501438579,15290.5,15460.38,15475.78,15277.22,5893379.0,1.06,3497.48,3998.45,10588.39,2181.08,5977.74,0.89,1.6
sz002898,11.9,12.48,12.48,38983.0,4.96,47952164.9,3.85,4.88,1263756761.28,37.28522336769759,0.27146638148801827,0.41644213473900443,13.777755299241615,12.274,10.770244700758383,1569.98,1591.4,1592.28,1567.46,21858583.0,1.32,3497.48,3998.45,10588.39,2181.08,5977.74,0.89,1.6
sz301328,40.97,41.93,41.93,16171.0,2.37,67293755.0,4.74,3.2,1431231953.13,66.03498542274059,0.5010641884157039,0.4095620475965333,42.79377443646759,40.463,38.132225563532415,28721.66,28936.05,28936.05,28530.81,28842147.0,0.79,3497.48,3998.45,10588.39,2181.08,5977.74,0.89,1.6
