stock_code,个股_开盘价,个股_收盘价,个股_最高价,个股_成交量,个股_涨跌幅,个股_成交额,个股_换手率,个股_振幅,个股_流通市值,个股_RSI,个股_MACD,个股_MACD_signal,个股_BB_upper,个股_BB_middle,个股_BB_lower,行业_开盘价,行业_收盘价,行业_最高价,行业_最低价,行业_成交量,行业_涨跌幅,指数_上证指数,指数_沪深300,指数_深证成指,指数_创业板指,指数_中证500,情绪_sentiment_0,情绪_sentiment_1
sz300465,16.71,16.3,16.75,305017.0,-2.69,496547505.0,6.87,3.88,7233114519.1,50.94086021505377,0.48366951620647036,0.49657842955481524,17.69064549967,16.186500000000002,14.682354500330002,1508.64,1528.69,1532.94,1503.71,9909818.0,2.94,3519.65,4017.67,10684.52,2197.07,6020.86,1.33,1.06
sh688098,6.23,6.34,6.34,46188.0,1.93,28960765.0,1.12,2.73,2603482960.0,76.47058823529402,0.09448638950207577,0.07433773163404361,6.351435618151484,6.0445,5.737564381848516,10749.6,10788.83,10896.31,10687.52,14139004.0,0.07,3519.65,4017.67,10684.52,2197.07,6020.86,1.33,1.06
sz000423,50.57,49.71,50.77,104320.0,-1.66,522010997.6,1.62,2.22,31964429005.35,19.057815845824422,-1.1066625129619254,-1.067876194588382,53.28316737314869,51.6235,49.96383262685131,2229.9,2251.3,2264.33,2229.9,8632954.0,1.13,3519.65,4017.67,10684.52,2197.07,6020.86,1.33,1.06
sh600282,4.52,4.59,4.61,379866.0,1.1,174047829.0,0.62,1.98,28297767740.49,85.29411764705885,0.09599840133463022,0.055052500010684534,4.677271154836835,4.290000000000001,3.9027288451631668,9741.21,9907.75,9919.9,9741.21,9913724.0,1.81,3519.65,4017.67,10684.52,2197.07,6020.86,1.33,1.06
sh603221,11.44,10.91,12.11,213289.0,-4.63,245007876.0,8.8,11.45,2643165700.0,49.67741935483872,0.0854628971550877,0.05718350942644966,11.615669467198106,10.983999999999998,10.35233053280189,9251.5,9278.38,9305.53,9250.2,5800497.0,0.35,3519.65,4017.67,10684.52,2197.07,6020.86,1.33,1.06
sz300436,62.51,62.51,66.55,288735.0,0.82,1842975292.0,21.12,8.31,8546355885.69,88.92525913802507,7.235891596046393,4.85195242823638,66.65155554302225,43.836,21.02044445697774,17595.63,17566.45,17601.87,17493.43,13819318.0,-0.37,3519.65,4017.67,10684.52,2197.07,6020.86,1.33,1.06
sz000566,6.23,6.24,6.43,678313.0,-0.64,425954973.86,5.82,3.98,7275276733.92,61.458333333333364,0.07882547961622777,0.056711103273471404,6.389541696355022,5.9755,5.5614583036449785,1189.99,1197.44,1197.61,1186.8,4501136.0,0.59,3519.65,4017.67,10684.52,2197.07,6020.86,1.33,1.06
sh605098,35.87,35.67,35.98,8451.0,-0.31,30190330.0,0.71,1.17,4253686737.0,57.9365079365079,-0.08350141401906086,-0.1780654499258956,36.18949027062781,35.4565,34.72350972937219,7298.85,7330.93,7340.36,7298.85,11691355.0,0.52,3519.65,4017.67,10684.52,2197.07,6020.86,1.33,1.06
sz002057,9.45,9.28,9.52,403927.0,-0.11,378190183.72,5.36,2.91,6991783220.48,52.8455284552845,0.18978175306548728,0.2216804289479939,9.718014741734207,9.095,8.471985258265795,28913.01,28984.86,29002.48,28839.2,11552569.0,0.28,3519.65,4017.67,10684.52,2197.07,6020.86,1.33,1.06
sz300618,36.22,36.08,37.18,135506.0,0.36,495983608.0,4.99,3.09,9789252948.64,52.33160621761653,0.5907671793777496,0.6240209183693741,37.2367436127016,35.178000000000004,33.11925638729841,4505.14,4543.66,4591.56,4505.14,52348946.0,0.77,3519.65,4017.67,10684.52,2197.07,6020.86,1.33,1.06
